Price/month,Type,Acreage,Bedrooms,Rental type
€2233 - €9456,Apartment ,30 m²,1 bedroom,Rental company
€2340 - €8355,Apartment ,49 m²,1 bedroom,Rental company
€2.790,Apartment ,65 m²,2 Bedrooms ,Rental company
€4395 - €5127,Apartment ,62 m²,1 bedroom,Rental company
€2.544,Apartment ,52 m²,2 Bedrooms ,Rental company
€3.933,Apartment ,25 m²,1 bedroom,Rental company
€2.900,Apartment ,25 m²,1 bedroom,Rental company
€2.052,Apartment ,58 m²,1 bedroom,Rental company
€2.843,Apartment ,60 m²,1 bedroom,Rental company
€1.850,Apartment ,52 m²,1 bedroom,Private landlord
€2.332,Apartment ,42 m²,1 bedroom,Rental company
€2.862,Apartment ,75 m²,2 Bedrooms ,Rental company
€2.916,Apartment ,45 m²,2 Bedrooms ,Rental company
€2900 - €8000,Apartment ,81 m²,3 Bedrooms ,Private landlord
€3.200,Apartment ,28 m²,1 bedroom,Rental company
€5.000,Apartment ,45 m²,1 bedroom,Rental company
€1680 - €8915,Apartment ,32 m²,1 bedroom,Rental company
€3.392,Apartment ,69 m²,2 Bedrooms ,Rental company
€4639 - €6470,Apartment ,90 m²,2 Bedrooms ,Rental company
€2.438,Apartment ,46 m²,1 bedroom,Rental company
€2.750,Apartment ,71 m²,2 Bedrooms ,Rental company
€2.438,Apartment ,70 m²,2 Bedrooms ,Rental company
€1.944,Apartment ,48 m²,1 bedroom,Rental company
€3370 - €4500,Apartment ,60 m²,1 bedroom,Rental company
€2650 - €6360,Apartment ,42 m²,2 Bedrooms ,Rental company
€3240 - €6480,Apartment ,82 m²,3 Bedrooms ,Rental company
€2.492,Apartment ,43 m²,1 bedroom,Rental company
€4.610,Apartment ,45 m²,1 bedroom,Rental company
€5.000,Apartment ,35 m²,1 bedroom,Rental company
€8537 - €20811,Apartment ,110 m²,3 Bedrooms ,Rental company
€9776 - €40394,Apartment ,183 m²,4 Bedrooms ,Rental company
€1.985,Apartment ,42 m²,1 bedroom,Rental company
€3.850,Apartment ,55 m²,1 bedroom,Private landlord
€2808 - €5616,Apartment ,45 m²,1 bedroom,Rental company
€3.103,Apartment ,53 m²,1 bedroom,Rental company
€1786 - €7122,Apartment ,35 m²,2 Bedrooms ,Rental company
€3.103,Apartment ,70 m²,2 Bedrooms ,Rental company
€3014 - €7623,Apartment ,42 m²,1 bedroom,Rental company
€1943 - €6825,Apartment ,66 m²,2 Bedrooms ,Rental company
€2650 - €7950,Apartment ,39 m²,1 bedroom,Rental company
€2.366,Apartment ,42 m²,1 bedroom,Rental company
€5.560,Apartment ,68 m²,2 Bedrooms ,Private landlord
€3.180,Apartment ,64 m²,2 Bedrooms ,Rental company
€2345 - €5540,Apartment ,57 m²,2 Bedrooms ,Rental company
€3.710,Apartment ,82 m²,3 Bedrooms ,Rental company
€3.710,Apartment ,57 m²,2 Bedrooms ,Rental company
€3.700,Apartment ,50 m²,1 bedroom,Rental company
€2.750,Apartment ,40 m²,1 bedroom,Rental company
€1.800,Apartment ,36 m²,1 bedroom,Rental company
€3.192,Apartment ,73 m²,2 Bedrooms ,Rental company
€1.975,Apartment ,36 m²,1 bedroom,Rental company
€2800 - €3300,Apartment ,56 m²,3 Bedrooms ,Rental company
€3604 - €5830,Apartment ,56 m²,1 bedroom,Rental company
€3.867,Apartment ,85 m²,2 Bedrooms ,Rental company
€3.080,Apartment ,62 m²,2 Bedrooms ,Rental company
€3.275,Apartment ,71 m²,2 Bedrooms ,Rental company
€1.300,Apartment ,20 m²,1 bedroom,Rental company
€4.700,Apartment ,64 m²,1 bedroom,Rental company
€2.100,Apartment ,37 m²,1 bedroom,Rental company
€3980 - €9576,Apartment ,57 m²,2 Bedrooms ,Rental company
€3833 - €8411,Apartment ,30 m²,1 bedroom,Rental company
€3.472,Apartment ,47 m²,1 bedroom,Rental company
€5310 - €6226,Apartment ,117 m²,3 Bedrooms ,Rental company
€4.000,Apartment ,60 m²,1 bedroom,Rental company
€6.067,Apartment ,62 m²,2 Bedrooms ,Rental company
€5.000,Apartment ,55 m²,1 bedroom,Rental company
€3135 - €6270,Apartment ,79 m²,2 Bedrooms ,Rental company
€2.100,Apartment ,37 m²,1 bedroom,Rental company
€3980 - €9576,Apartment ,57 m²,2 Bedrooms ,Rental company
€3833 - €8411,Apartment ,30 m²,1 bedroom,Rental company
€3.472,Apartment ,47 m²,1 bedroom,Rental company
€5310 - €6226,Apartment ,117 m²,3 Bedrooms ,Rental company
€4.000,Apartment ,60 m²,1 bedroom,Rental company
€5.000,Apartment ,55 m²,1 bedroom,Rental company
€3.520,Apartment ,87 m²,2 Bedrooms ,Rental company
€3.484,Apartment ,53 m²,2 Bedrooms ,Rental company
€2.500,Apartment ,55 m²,2 Bedrooms ,Rental company
€2814 - €11203,Apartment ,48 m²,1 bedroom,Rental company
€2.968,Apartment ,55 m²,1 bedroom,Rental company
€2814 - €11277,Apartment ,55 m²,1 bedroom,Rental company
€3.498,Apartment ,78 m²,2 Bedrooms ,Rental company
€3.300,Apartment ,75 m²,2 Bedrooms ,Rental company
€3434 - €7298,Apartment ,32 m²,1 bedroom,Rental company
€2.100,Apartment ,44 m²,1 bedroom,Rental company
€3.672,Apartment ,85 m²,2 Bedrooms ,Rental company
€5.500,Apartment ,60 m²,2 Bedrooms ,Rental company
€5030 - €10301,Apartment ,90 m²,2 Bedrooms ,Rental company
€3.100,House ,236 m²,5 Bedrooms ,Private landlord
€5.500,Apartment ,45 m²,1 bedroom,Rental company
€2.100,Apartment ,70 m²,1 bedroom,Rental company
€3.816,Apartment ,73 m²,2 Bedrooms ,Rental company
€3.077,Apartment ,82 m²,2 Bedrooms ,Rental company
€1.800,Apartment ,56 m²,2 Bedrooms ,Rental company
€6.966,Apartment ,67 m²,2 Bedrooms ,Rental company
€2077 - €8235,Apartment ,34 m²,1 bedroom,Rental company
€3812 - €9808,Apartment ,41 m²,1 bedroom,Rental company
€2568 - €10758,Apartment ,50 m²,1 bedroom,Rental company
€2032 - €8161,Apartment ,38 m²,1 bedroom,Rental company
€2.000,Apartment ,46 m²,1 bedroom,Rental company
€3.839,Apartment ,53 m²,2 Bedrooms ,Rental company
€3.815,Apartment ,75 m²,2 Bedrooms ,Rental company
€4.559,Apartment ,83 m²,3 Bedrooms ,Rental company
€6714 - €7447,Apartment ,130 m²,3 Bedrooms ,Rental company
€4.877,Apartment ,65 m²,2 Bedrooms ,Rental company
€4.400,Apartment ,40 m²,1 bedroom,Rental company
€4.900,Apartment ,60 m²,1 bedroom,Private landlord
€2791 - €15678,Apartment ,100 m²,2 Bedrooms ,Rental company
€5400 - €13500,Apartment ,30 m²,1 bedroom,Private landlord
€5250 - €12506,Apartment ,77 m²,2 Bedrooms ,Rental company
€4935 - €9503,Apartment ,43 m²,1 bedroom,Rental company
€5.642,Apartment ,53 m²,1 bedroom,Rental company
€5000 - €15000,Apartment ,130 m²,3 Bedrooms ,Rental company
€4000 - €30000,Apartment ,50 m²,1 bedroom,Private landlord
€8.320,Apartment ,64 m²,1 bedroom,Rental company
€5.300,Apartment ,105 m²,3 Bedrooms ,Rental company
€4.815,Apartment ,133 m²,3 Bedrooms ,Rental company
€5975 - €12695,Apartment ,70 m²,2 Bedrooms ,Rental company
€7.847,Apartment ,50 m²,1 bedroom,Rental company
€4.675,Apartment ,117 m²,3 Bedrooms ,Rental company
€5103 - €12475,Apartment ,77 m²,2 Bedrooms ,Rental company
€4.910,Apartment ,90 m²,2 Bedrooms ,Rental company
€5450 - €10668,Apartment ,60 m²,2 Bedrooms ,Rental company
€5.298,Apartment ,94 m²,2 Bedrooms ,Rental company
€8.219,Apartment ,115 m²,3 Bedrooms ,Rental company
€3.600,Apartment ,80 m²,3 Bedrooms ,Rental company
€6553 - €17378,Apartment ,80 m²,3 Bedrooms ,Rental company
€5.350,Apartment ,85 m²,3 Bedrooms ,Rental company
€9.880,Apartment ,100 m²,2 Bedrooms ,Rental company
€7.000,Apartment ,65 m²,1 bedroom,Rental company
€6426 - €18407,Apartment ,80 m²,3 Bedrooms ,Rental company
€7000 - €31000,Apartment ,70 m²,2 Bedrooms ,Private landlord
€4354 - €28644,Apartment ,61 m²,2 Bedrooms ,Rental company
€7288 - €19236,Apartment ,64 m²,3 Bedrooms ,Rental company
€9.999,Apartment ,38 m²,1 bedroom,Rental company
€6249 - €7476,Apartment ,138 m²,3 Bedrooms ,Rental company
€8411 - €21778,Apartment ,130 m²,4 Bedrooms ,Rental company
€6.420,Apartment ,130 m²,3 Bedrooms ,Rental company
€6038 - €18785,Apartment ,90 m²,3 Bedrooms ,Rental company
€10406 - €22638,Apartment ,108 m²,3 Bedrooms ,Rental company
€9115 - €24140,Apartment ,80 m²,3 Bedrooms ,Rental company
€10406 - €26565,Apartment ,108 m²,3 Bedrooms ,Rental company
€9188 - €20486,Apartment ,95 m²,3 Bedrooms ,Rental company
€10438 - €26481,Apartment ,180 m²,3 Bedrooms ,Rental company
€9471 - €21620,Apartment ,80 m²,4 Bedrooms ,Rental company
€8054 - €23415,Apartment ,140 m²,4 Bedrooms ,Rental company
€9356 - €26355,Apartment ,78 m²,3 Bedrooms ,Rental company
