Property_name,Property_type,Property_size,Total_rooms,Bedrooms,Bathrooms,Location,Price(Euros)
Rue des Saints-Pères - Elegant reception appartment,Apartments,126,5,2,3,"Paris, Ile-De-France, 75006 France",2700000
Apartment in Paris 16th - Foch,Apartments,177,5,3,3,"Paris, Ile-De-France, 75016 France",2689999
Iéna - Place des États-Unis,Apartments,216,NA,4,NA,"Paris, Ile-De-France, 75016 France",2652000
FOR SALE - Apartment - Commercial space - 75003 PARIS - Rambuteau - Le Marais,Apartments,126,4,2,6,"Paris, Ile-De-France, 75003 France",2650000
Exceptional apartment with view onto private gardens,Apartments,84,2,1,2,"Paris, Ile-De-France, 75007 France",2625000
Paris 5 - Charming 1 bedroom pied-à-terre on courtyard and seine,Apartments,93,NA,1,2,"Paris, Ile-De-France, 75005 France",2600000
APPARTEMENT DE RECEPTION - COEUR MARAIS,Apartments,202,8,4,5,"Paris, Ile-De-France, 75004 France",2589999
Paris 17th. Etoile,Apartments,194,NA,3,6,"Paris, Ile-De-France, 75017 France",2549999
Apartment in Paris 5th - Notre-Dame / Ile de la Cité,Apartments,97,4,2,3,"Paris, Ile-De-France, 75005 France",2519999
Apartment with terrace in front of the Jardins du Luxembourg,Apartments,122,NA,1,4,"Paris, Ile-De-France, 75006 France",2514000
Family apartment on the last floor with terrace close to the Bon Marché,Apartments,135,NA,4,4,"Paris, Ile-De-France, 75007 France",2499999
Zilveli House by Jean-Paul Goude,Land,213,NA,NA,NA,"Paris, Ile-De-France, 75019 France",2499999
Golden Triangle: three-bedroom apartment with luxurious renovation,Apartments,146,NA,3,3,"Paris, Ile-De-France, 75008 France",2495999
Paris 1st - Saint-Germain-l'Auxerrois. Reception apartment with stunning views.,Apartments,117,4,2,2,"Paris, Ile-De-France, 75001 France",2495000
House 30min from Paris,Single Family Homes,495,12,7,5,"Paris, Ile-De-France, 75011 France",2490000
Atelier d'Artiste,Single Family Homes,168,6,1,4,"Paris, Ile-De-France, 75014 France",2484000
Family apartment - 4 bedrooms - PARIS XVI,Apartments,172,6,4,6,"Paris, Ile-De-France, 75016 France",2479999
Gros Caillou - Three bedrooms apartment with work.,Apartments,173,6,4,3,"Paris, Ile-De-France, 75007 France",2459999
Family apartment - 4 bedrooms - PARIS XVI,Apartments,172,6,4,6,"Paris, Ile-De-France, 75016 France",2389999
Paris 7th - Apartment 2 bedrooms,Apartments,75,NA,2,4,"Paris, Ile-De-France, 75007 France",2380000
BEAUTIFUL FAMILY APARTMENT - OPEN VIEW,Apartments,154,NA,3,6,"Paris, Ile-De-France, 75016 France",2350000
Paris V - Magnificent apartment with all the charm of the old,Apartments,160,NA,4,3,"Paris, Ile-De-France, 75005 France",2350000
Paris 10ème - 5 pièces 4 chambres de 170m² refait à neuf,Apartments,169,5,4,4,"Paris, Ile-De-France, 75010 France",2300000
Apartment in Paris 16th - Trocadéro,Apartments,86,3,1,2,"Paris, Ile-De-France, 75016 France",2280000
Magnifique appartement entièrement rénové rue de l'Odéon,Apartments,103,4,2,4,"Paris, Ile-De-France, 75006 France",2269999
Paris VII- EXCLUSIVITY - Family apartment rue de Verneuil,Apartments,128,6,4,2,"Paris, Ile-De-France, 75007 France",2249999
Top floor - Eiffel Tower view,Apartments,176,NA,4,4,"Paris, Ile-De-France, 75015 France",2249999
Appartement familial et de réception,Apartments,152,NA,3,5,"Paris, Ile-De-France, 75017 France",2240000
Apartment,Apartments,108,NA,2,3,"Paris, Ile-De-France, 75006 France",2195000
Saint-Germain des Prés,Duplex Homes,104,NA,1,2,"Paris, Ile-De-France, 75006 France",2190000
Paris 18th - Montmartre - Apartment with Garden Renovated by an Architect,Apartments,87,NA,2,3,"Paris, Ile-De-France, 75018 France",2190000
FOR SALE - Exceptional apartment - Odeon - 75006 PARIS,Apartments,87,3,NA,NA,"Paris, Ile-De-France, 75006 France",2190000
Paris VII - Ségur - top floor apartment in perfect condition,Apartments,123,NA,3,2,"Paris, Ile-De-France, 75007 France",2190000
Paris 8 - Madeleine - Beautiful and renovated 3 BR apartment with balcony,Apartments,148,5,4,2,"Paris, Ile-De-France, 75008 France",2190000
Appartement familial 4 chambres - Vue dégagée,Apartments,173,6,4,3,"Paris, Ile-De-France, 75010 France",2179999
Passy,Apartments,154,5,3,5,"Paris, Ile-De-France, 75016 France",2154999
Duplex penthouse with terrace - Paris 14th district - Alesia,Apartments,117,4,3,5,"Paris, Ile-De-France, 75014 France",2154999
"Avenue Montaigne, Plaza Athénée, Pied-à-terre with two bedrooms.",Apartments,76,4,2,4,"Paris, Ile-De-France, 75008 France",2150000
Apartment in Paris 16th - Jasmin,Apartments,194,6,4,4,"Paris, Ile-De-France, 75016 France",2140000
Top floor with terrace at Saint-Germain-des-Prés,Duplex Homes,112,NA,3,3,"Paris, Ile-De-France, 75006 France",2120000
Apartment in Paris 16th - Place des Etats-Unis,Apartments,225,5,4,3,"Paris, Ile-De-France, 75016 France",2100000
Paris 4th - Top floor apartment with panoramic terrace and monument views,Apartments,101,4,2,1,"Paris, Ile-De-France, 75004 France",2080000
PARIS 16 - CHURCH OF AUTEUIL,Apartments,159,6,3,3,"Paris, Ile-De-France, 75016 France",2050000
Apartment in Paris 11th - Bastille Popincourt / Charonne,Apartments,188,NA,4,4,"Paris, Ile-De-France, 75011 France",1999999
Paris IX - Magnifique atelier rue des Martyrs,Apartments,153,6,4,4,"Paris, Ile-De-France, 75009 France",1995999
Loft-style apartment - Marché de Lévis - Villiers - 2 Rooms,Apartments,145,NA,2,4,"Paris, Ile-De-France, 75017 France",1989999
Family apartment with terrace and balcony - Pereire-Ampère,Apartments,146,5,3,3,"Paris, Ile-De-France, 75017 France",1989999
Nice bright apartment on the last floors with balconies and unobstructed views.,Apartments,100,4,2,4,"Paris, Ile-De-France, 75018 France",1989999
Charming duplex Saint Germain Des Prés center Paris,Apartments,108,4,2,4,"Paris, Ile-De-France, 75007 France",1989999
Paris 18th - Montmartre - Apartment with Garden Renovated by an Architect,Apartments,87,3,2,3,"Paris, Ile-De-France, 75018 France",1989999
Duplex for sale in Paris 4rd arr. - Place des Vosges.,Apartments,87,NA,2,2,"Paris, Ile-De-France, 75004 France",1989999
Apartment,Apartments,130,NA,3,3,"Paris, Ile-De-France, 75011 France",1989999
5-room apartment - Paris 10th - Gare de l'Est / Canal Saint-Martin,Apartments,149,5,3,4,"Paris, Ile-De-France, 75010 France",1980000
Apartment in Paris 16th - Dauphine,Apartments,136,5,3,4,"Paris, Ile-De-France, 75016 France",1974999
Charming apartment with stunning views in Paris 5th.,Apartments,142,4,2,2,"Paris, Ile-De-France, 75005 France",1969999
Paris 11. Loft de 170m² avec terrasse,Apartments,168,4,3,4,"Paris, Ile-De-France, 75011 France",1969999
Apartment,Apartments,89,5,2,2,"Paris, Ile-De-France, 75018 France",1920000
Apartment,Apartments,114,8,5,NA,"Paris, Ile-De-France, 75006 France",1899999
Paris 9 - 3 bedrooms apartment in the heart of the theater district,Apartments,145,4,3,2,"Paris, Ile-De-France, 75009 France",1895000
FOR SALE. - PARIS 0 - Apartment - 3 bedrooms - parking,Apartments,156,5,3,4,"Paris, Ile-De-France, 75009 France",1895000
Tuileries Garden / Place Vendôme - Beautiful Apartment,Apartments,72,2,1,2,"Paris, Ile-De-France, 75001 France",1890000
Passy - Kennedy : Beautiful apartment with views,Apartments,150,NA,5,3,"Paris, Ile-De-France, 75016 France",1890000
