price(euros),energy_class,climate_class,subtype,district,bathroom_lavatory_counts,is_rent,rent_or_sale,floor_num,rooms_num,bedrooms_num,area(m^2)
5400,D,E,Apartment,Paris 8th (75008),4,True,rent,3,5,4,197.0
1570,D,E,Apartment,Paris 5th (75005),2,True,rent,4,2,2,43.0
9050,D,D,Apartment,Paris 1st (75001),2,False,sale,5,7,2,302.04
6400,D,E,Apartment,Paris 16th (75016),4,True,rent,3,5,4,150.0
2500,D,E,Apartment,Paris 16th (75016),2,True,rent,7,3,2,82.0
2220,D,E,Apartment,Paris 6th (75006),2,True,rent,2,3,2,50.0
3060,D,A,Apartment,Paris 1st (75001),2,False,sale,4,3,2,77.43
1650,D,E,Apartment,Paris 5th (75005),2,True,rent,3,3,2,55.55
1250,D,E,Apartment,Paris 6th (75006),1,False,sale,3,1,1,32.0
1614,D,E,Apartment,Paris 8th (75008),2,True,rent,4,2,2,49.7
2800,E,E,Apartment,Paris 7th (75007),2,False,sale,1,3,2,84.1
5150,D,E,Apartment,Paris 5th (75005),3,True,rent,2,6,3,170.0
6300,G,G,Apartment,Paris 8th (75008),4,False,sale,2,6,4,205.0
6000,D,E,Apartment,Paris 8th (75008),3,True,rent,4,5,3,137.0
