id,Cost,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,cleanliness_rating,guest_satisfaction,bedrooms,dist,metro_dist,lng,lat
882,278.217914064684,Entire home/apt,False,False,2,False,0,8,93,0,0.827,0.301,2.364,48.857
883,440.395190604902,Entire home/apt,False,False,2,False,0,10,95,1,1.033,0.169,2.366,48.859
884,672.01043899711,Entire home/apt,False,False,3,True,0,9,96,1,0.602,0.18,2.349,48.852
885,544.552148382887,Entire home/apt,False,False,5,False,1,8,82,2,0.265,0.124,2.351,48.858
886,1011.04483176437,Entire home/apt,False,False,4,False,0,9,89,0,0.287,0.372,2.357,48.857
887,192.935035884052,Private room,False,True,2,False,0,9,95,1,1.198,0.071,2.368,48.86
888,305.946500139808,Entire home/apt,False,False,2,False,0,9,94,1,1.07,0.234,2.348,48.847
889,218.799515332277,Private room,False,True,2,False,0,8,88,1,1.881,0.169,2.35,48.84
890,278.217914064684,Shared room,True,False,3,True,0,10,97,1,1.139,0.256,2.365,48.85
891,231.382235063845,Entire home/apt,False,False,2,True,0,9,95,1,1.653,0.302,2.37,48.847
892,623.543666697735,Entire home/apt,False,False,4,False,0,9,95,1,0.78,0.291,2.357,48.863
893,333.675086214931,Entire home/apt,False,False,2,True,1,10,99,1,1.489,0.244,2.356,48.843
894,591.154814055364,Shared room,True,False,4,False,0,10,96,1,1.878,0.407,2.346,48.84
895,329.946872961133,Entire home/apt,False,False,3,False,0,9,94,1,0.681,0.109,2.345,48.853
896,322.257433125174,Entire home/apt,False,False,2,False,0,9,94,1,1.075,0.127,2.367,48.859
897,405.676204678907,Entire home/apt,False,False,4,False,0,9,84,1,2.031,0.376,2.347,48.839
898,1170.6589616926,Entire home/apt,False,False,2,False,0,9,94,1,0.367,0.278,2.356,48.859
899,764.982757013701,Entire home/apt,False,False,4,False,0,9,94,1,0.71,0.155,2.346,48.852
900,1235.43666697735,Entire home/apt,False,False,6,False,0,10,98,2,0.824,0.225,2.364,48.856
901,962.112032808276,Entire home/apt,False,False,6,True,1,10,99,2,0.655,0.055,2.362,48.855
902,388.666231708453,Entire home/apt,False,False,2,True,1,10,98,1,4.061,0.288,2.301,48.869
903,1286.46658588871,Entire home/apt,False,False,6,False,0,10,98,4,2.189,0.341,2.334,48.841
904,312.936899990679,Entire home/apt,False,False,2,False,1,10,94,0,5.066,0.155,2.3,48.886
905,289.635567154441,Entire home/apt,False,False,2,False,0,9,93,1,3.26,0.196,2.308,48.857
906,174.526982943424,Private room,False,True,2,False,0,9,91,1,2.954,0.181,2.318,48.843
907,266.567247646565,Entire home/apt,False,False,2,False,0,9,92,0,4.303,0.253,2.301,48.874
908,579.504147637244,Entire home/apt,False,False,4,False,0,9,85,1,3.001,0.304,2.312,48.86
909,614.223133563239,Entire home/apt,False,False,2,False,0,10,99,1,2.138,0.077,2.327,48.848
910,468.123776680026,Private room,False,True,2,True,1,10,98,1,1.271,0.306,2.339,48.849
911,288.703513840991,Entire home/apt,False,False,2,False,0,10,96,0,1.589,0.185,2.332,48.852
912,428.744524186783,Entire home/apt,False,False,4,False,0,9,94,0,4.158,0.146,2.302,48.873
913,452.045857023021,Entire home/apt,False,False,6,False,1,9,92,1,2.114,0.212,2.332,48.844
914,345.32575263305,Entire home/apt,False,False,2,False,0,9,93,1,2.681,0.176,2.321,48.844
915,336.005219498555,Private room,False,True,2,False,0,10,96,1,3.911,0.435,2.308,48.876
916,317.364153229564,Entire home/apt,False,False,2,False,0,9,88,1,1.49,0.249,2.332,48.856
917,345.32575263305,Private room,False,True,2,False,0,10,93,1,1.195,0.066,2.338,48.852
918,240.935781526703,Private room,False,True,2,False,0,10,95,1,2.616,0.074,2.326,48.841
919,363.733805573678,Entire home/apt,False,False,2,True,0,10,96,1,4.369,0.284,2.293,48.854
920,503.77481591947,Entire home/apt,False,False,2,False,0,9,100,1,3.571,0.322,2.307,48.867
921,365.131885543853,Entire home/apt,False,False,4,True,0,10,98,1,5.087,0.335,2.285,48.867
922,167.536583092552,Entire home/apt,False,False,2,False,1,9,87,1,5.593,0.441,2.286,48.881
923,608.39780035418,Entire home/apt,False,False,3,False,1,7,83,1,2.268,0.168,2.324,48.849
924,385.870071768105,Entire home/apt,False,False,3,False,0,10,100,0,4.235,0.128,2.305,48.878
