Property_name,Price (dollars),Year_Built,Property_Type,Area (sq ft),Tax (dollars/year),Total_room,Bedroom,Bathroom,Area_code,Price (euros),Prop_size (m^2)
Family apartment - 4 bedrooms - PARIS XVI,2597826.0,1956.0,Apartments,1872.0,3804.0,6.0,4.0,6.0,75016,2389999.0,172.0
Paris 7th - Apartment 2 bedrooms,2586957.0,1840.0,Apartments,818.0,2614.5196078431372,5.0,2.0,4.0,75007,2380000.0,75.0
BEAUTIFUL FAMILY APARTMENT - OPEN VIEW,2554348.0,1930.0,Apartments,1679.0,4561.0,5.0,3.0,6.0,75016,2350000.0,154.0
Paris V - Magnificent apartment with all the charm of the old,2554348.0,1895.0,Apartments,1743.0,2978.0,5.0,4.0,3.0,75005,2350000.0,160.0
Paris 10Ã¨me - 5 piÃ¨ces 4 chambres de 170mÂ² refait Ã neuf,2500000.0,1890.0,Apartments,1840.0,1802.0,5.0,4.0,4.0,75010,2300000.0,169.0
Apartment in Paris 16th - TrocadÃ©ro,2478261.0,1957.0,Apartments,936.0,2614.5196078431372,3.0,1.0,2.0,75016,2280000.0,86.0
Magnifique appartement entiÃ¨rement rÃ©novÃ© rue de l'OdÃ©on,2467391.0,1890.0,Apartments,1130.0,1838.0,4.0,2.0,4.0,75006,2269999.0,103.0
Paris VII- EXCLUSIVITY - Family apartment rue de Verneuil,2445652.0,1760.0,Apartments,1399.0,2982.0,6.0,4.0,2.0,75007,2249999.0,128.0
Top floor - Eiffel Tower view,2445652.0,1894.0,Apartments,1915.0,2625.0,5.0,4.0,4.0,75015,2249999.0,176.0
Appartement familial et de rÃ©ception,2434783.0,1880.0,Apartments,1657.0,2614.5196078431372,5.0,3.0,5.0,75017,2240000.0,152.0
Paris 18th - Montmartre - Apartment with Garden Renovated by an Architect,2380435.0,1800.0,Apartments,947.0,1628.0,5.0,2.0,3.0,75018,2190000.0,87.0
Paris VII - SÃ©gur - top floor apartment in perfect condition,2380435.0,1890.0,Apartments,1345.0,2614.5196078431372,5.0,3.0,2.0,75007,2190000.0,123.0
Paris 8 - Madeleine - Beautiful and renovated 3 BR apartment with balcony,2380435.0,1830.0,Apartments,1614.0,2755.0,5.0,4.0,2.0,75008,2190000.0,148.0
Appartement familial 4 chambres - Vue dÃ©gagÃ©e,2369565.0,1900.0,Apartments,1883.0,2614.5196078431372,6.0,4.0,3.0,75010,2179999.0,173.0
Passy,2342391.0,1964.0,Apartments,1679.0,3796.0,5.0,3.0,5.0,75016,2154999.0,154.0
"Avenue Montaigne, Plaza AthÃ©nÃ©e, Pied-Ã -terre with two bedrooms.",2336957.0,1960.0,Apartments,828.0,1527.0,4.0,2.0,4.0,75008,2150000.0,76.0
Apartment in Paris 16th - Jasmin,2326087.0,1930.0,Apartments,2109.0,4022.0,6.0,4.0,4.0,75016,2140000.0,194.0
Apartment in Paris 16th - Place des Etats-Unis,2282609.0,1930.0,Apartments,2454.0,2614.5196078431372,5.0,4.0,3.0,75016,2100000.0,225.0
Paris 4th - Top floor apartment with panoramic terrace and monument views,2260870.0,1930.0,Apartments,1108.0,2251.0,4.0,2.0,1.0,75004,2080000.0,101.0
PARIS 16 - CHURCH OF AUTEUIL,2228261.0,1908.0,Apartments,1732.0,2614.5196078431372,6.0,3.0,3.0,75016,2050000.0,159.0
Apartment in Paris 11th - Bastille Popincourt / Charonne,2173913.0,1800.0,Apartments,2045.0,2614.5196078431372,5.0,4.0,4.0,75011,1999999.0,188.0
Loft-style apartment - MarchÃ© de LÃ©vis - Villiers - 2 Rooms,2163043.0,1900.0,Apartments,1582.0,1737.0,5.0,2.0,4.0,75017,1989999.0,145.0
Family apartment with terrace and balcony - Pereire-AmpÃ¨re,2163043.0,1898.0,Apartments,1593.0,2883.0,5.0,3.0,3.0,75017,1989999.0,146.0
Nice bright apartment on the last floors with balconies and unobstructed views.,2163043.0,1950.0,Apartments,1087.0,2893.0,4.0,2.0,4.0,75018,1989999.0,100.0
Charming duplex Saint Germain Des PrÃ©s center Paris,2163043.0,1800.0,Apartments,1184.0,2614.5196078431372,4.0,2.0,4.0,75007,1989999.0,108.0
Paris 18th - Montmartre - Apartment with Garden Renovated by an Architect,2163043.0,1800.0,Apartments,947.0,1628.0,3.0,2.0,3.0,75018,1989999.0,87.0
Apartment,2163043.0,1840.0,Apartments,1420.0,2614.5196078431372,5.0,3.0,3.0,75011,1989999.0,130.0
Apartment in Paris 16th - Dauphine,2146739.0,1960.0,Apartments,1485.0,2614.5196078431372,5.0,3.0,4.0,75016,1974999.0,136.0
Charming apartment with stunning views in Paris 5th.,2141304.0,1895.0,Apartments,1550.0,2614.5196078431372,4.0,2.0,2.0,75005,1969999.0,142.0
Paris 11. Loft de 170mÂ² avec terrasse,2141304.0,1983.0,Apartments,1829.0,2614.5196078431372,4.0,3.0,4.0,75011,1969999.0,168.0
Apartment,2086957.0,1890.0,Apartments,968.0,1555.0,5.0,2.0,2.0,75018,1920000.0,89.0
Apartment,2065217.0,1910.0,Apartments,1248.0,2712.0,8.0,3.0,2.0,75006,1899999.0,114.0
Paris 9 - 3 bedrooms apartment in the heart of the theater district,2059783.0,1880.0,Apartments,1582.0,2614.5196078431372,4.0,3.0,2.0,75009,1895000.0,145.0
Tuileries Garden / Place VendÃ´me - Beautiful Apartment,2054348.0,1840.0,Apartments,785.0,2614.5196078431372,2.0,1.0,2.0,75001,1890000.0,72.0
Passy - Kennedy : Beautiful apartment with views,2054348.0,1921.0,Apartments,1636.0,3891.0,5.0,3.0,3.0,75016,1890000.0,150.0
Apartment in Paris 9th - Avenue Fochot,2043478.0,1880.0,Apartments,1044.0,2614.5196078431372,5.0,1.0,2.0,75009,1879999.0,96.0
PARIS 15 - PENTHOUSE WITH TERRACES,2038043.0,1968.0,Apartments,1485.0,3374.0,5.0,3.0,4.0,75015,1874999.0,136.0
Paris 7th - 2 bedrooms - Gros caillou,2034783.0,1800.0,Apartments,968.0,2614.5196078431372,5.0,2.0,4.0,75007,1872000.0,89.0
Lovely renovated apartment with terrace in the heart of Paris.,2010870.0,1850.0,Apartments,1119.0,1348.0,5.0,2.0,4.0,75002,1850000.0,102.0
"PARIS 17, TRIUMPHAL ARCH",2010870.0,1880.0,Apartments,1517.0,3657.0,5.0,3.0,3.0,75017,1850000.0,139.0
Family apartment - 5 bedrooms - VILLAGE d'AUTEUIL - PARIS XVI,1956522.0,1954.0,Apartments,1732.0,3573.0,7.0,3.0,4.0,75016,1800000.0,159.0
Contemporary house on 3 levels - Paris 19th - Bolivar,1954348.0,1954.0,Single Family Homes,2690.0,2566.0,5.0,3.0,2.0,75019,1798000.0,247.0
Apartment in Paris 8th - Montaigne / FranÃ§ois 1er,1945652.0,1960.0,Apartments,914.0,2614.5196078431372,3.0,2.0,3.0,75008,1789999.0,84.0
3-room apartment - Paris 16th - Victor Hugo,1902174.0,1904.0,Apartments,1237.0,2614.5196078431372,3.0,2.0,2.0,75016,1750000.0,113.0
Paris 20th - Saint-Blaise - Superb loft with Gustave Eiffel glass roof.,1902174.0,1900.0,Apartments,2583.0,1227.0,5.0,2.0,4.0,75020,1750000.0,237.0
APPARTEMENT TRIANGLE D'OR - PARIS 8Ã¨me,1902174.0,1963.0,Apartments,602.0,1632.0,2.0,1.0,2.0,75008,1750000.0,55.0
Apartment in Paris 16th - Ranelagh,1891304.0,1910.0,Apartments,1313.0,2614.5196078431372,4.0,3.0,3.0,75016,1739999.0,120.0
Apartment in Paris 16th - Belles Feuilles / Victor Hugo,1885870.0,1963.0,Apartments,1453.0,2391.0,5.0,3.0,4.0,75016,1735000.0,133.0
Apartment for sale in Paris 15th - Seine,1842391.0,1976.0,Apartments,1463.0,2337.0,5.0,3.0,4.0,75015,1694999.0,134.0
Elegant 5 rooms - Paris XVI,1836957.0,1925.0,Apartments,1485.0,2614.5196078431372,5.0,2.0,3.0,75016,1690000.0,136.0
Perfect condition-Saint-Germain de PrÃ©s-Two bedrooms,1826087.0,1890.0,Apartments,861.0,2614.5196078431372,3.0,2.0,2.0,75005,1680000.0,79.0
Paris 12 - Daumesnil - Apartment with double terrace,1815217.0,1970.0,Apartments,1528.0,2541.0,4.0,2.0,3.0,75012,1669999.0,140.0
Sole Agent - Crossing apartment with balcony,1809783.0,1882.0,Apartments,1108.0,2009.0,5.0,2.0,4.0,75009,1665000.0,101.0
