Proprety_name,Year_Built,Property_Type,Tax (dollars/year),Total_room,Bedroom,Bathroom,Price (euros),Prop_size (m^2)
PARIS 8 - GOLDEN TRIANGLE / MONTAIGNE / PLACE FRANÃ‡OIS 1ST,1880.0,apartment,2601.0,5.0,3.0,4.0,2970000.0,154
Appartement vue Tour Eiffel - Paris 16Ã¨me - TrocadÃ©ro,1909.0,apartment,2601.0,8.0,3.0,4.0,2950000.0,216
Duplex en dernier Ã©tage de 211mÂ² refait par architecte,1912.0,apartment,2690.0,4.0,3.0,3.0,2950000.0,208
Paris XVI- Ranelagh - Muette,1897.0,apartment,5380.0,6.0,3.0,4.0,2889999.0,182
148 sq.m. renovated family flat - Paris 3rd - Square du Temple,1890.0,apartment,1739.0,5.0,3.0,4.0,2790000.0,148
Rue des Saints-PÃ¨res - Elegant reception appartment,1870.0,apartment,2601.0,5.0,2.0,3.0,2700000.0,126
Apartment in Paris 16th - Foch,1960.0,apartment,2601.0,5.0,3.0,3.0,2689999.0,177
IÃ©na - Place des Ã‰tats-Unis,1970.0,apartment,5576.0,5.0,4.0,2.0,2652000.0,216
Exceptional apartment with view onto private gardens,1800.0,apartment,1922.0,2.0,1.0,2.0,2625000.0,84
Paris 5 - Charming 1 bedroom pied-Ã -terre on courtyard and seine,1982.0,apartment,2601.0,5.0,1.0,2.0,2600000.0,93
Apartment in Paris 5th - Notre-Dame / Ile de la CitÃ©,1763.0,apartment,3043.0,4.0,2.0,3.0,2519999.0,97
Apartment with terrace in front of the Jardins du Luxembourg,1964.0,apartment,3393.0,5.0,1.0,4.0,2514000.0,122
Family apartment on the last floor with terrace close to the Bon MarchÃ©,1919.0,apartment,2601.0,5.0,4.0,4.0,2499999.0,135
Golden Triangle: three-bedroom apartment with luxurious renovation,1929.0,apartment,2601.0,5.0,3.0,3.0,2495999.0,146
Paris 1st - Saint-Germain-l'Auxerrois. Reception apartment with stunning views.,1860.0,apartment,2743.0,4.0,2.0,2.0,2495000.0,117
Atelier d'Artiste,1926.0,Single Family Homes,2138.0,6.0,1.0,4.0,2484000.0,168
Family apartment - 4 bedrooms - PARIS XVI,1956.0,apartment,3804.0,6.0,4.0,6.0,2479999.0,172
Gros Caillou - Three bedrooms apartment with work.,1926.0,apartment,4283.0,6.0,4.0,3.0,2459999.0,173
Family apartment - 4 bedrooms - PARIS XVI,1956.0,apartment,3804.0,6.0,4.0,6.0,2389999.0,172
Paris 7th - Apartment 2 bedrooms,1840.0,apartment,2601.0,5.0,2.0,4.0,2380000.0,75
BEAUTIFUL FAMILY APARTMENT - OPEN VIEW,1930.0,apartment,4561.0,5.0,3.0,6.0,2350000.0,154
Paris V - Magnificent apartment with all the charm of the old,1895.0,apartment,2978.0,5.0,4.0,3.0,2350000.0,160
