Proprety_name,Year_Built,Property_Type,Tax (dollars/year),Total_room,Bedroom,Bathroom,Price (euros),Prop_size (m^2)
Paris 20th District - A charming period property with a garden,1830.0,apartment,2601.0,5.0,3.0,2.0,2499999.0,144
Paris 6th District -An ideal pied a terre,1880.0,apartment,2601.0,5.0,2.0,2.0,2499999.0,115
Paris 16th District - A 3-bed family apartment,1970.0,apartment,2601.0,5.0,3.0,2.0,2499999.0,162
Paris 5th District - An ideal pied a terre,1700.0,apartment,2601.0,5.0,2.0,2.0,2519999.0,94
"Paris,ÃŽle-de-France,France",1925.0,apartment,2601.0,5.0,3.0,2.0,2519999.0,199
Paris 8th District Avenue George V,1963.0,apartment,2601.0,5.0,1.0,1.0,2519999.0,61
Paris 16th District - A spacious 3-bed apartment,1880.0,apartment,2601.0,5.0,3.0,2.0,2549999.0,169
Paris 16th District - A bright 3-bed apartment,1910.0,apartment,2601.0,5.0,3.0,2.0,2549999.0,141
Paris 16th District - A spacious apartment commanding exceptional views,1968.0,apartment,2601.0,5.0,3.0,3.0,2589999.0,218
Paris 8th District - A spacious 3-bed apartment,1893.0,apartment,2601.0,5.0,3.0,2.0,2589999.0,190
Paris 16th District - A renovated 4-bed apartment,1890.0,apartment,2601.0,5.0,4.0,3.0,2589999.0,188
Paris 10th District - A superb 3/4 bed apartment,1930.0,apartment,2601.0,5.0,3.0,2.0,2600000.0,153
Paris 16th District - A meticulously renovated 2/3 bed apartment,1930.0,apartment,2601.0,5.0,2.0,2.0,2650000.0,169
Paris 8th District - A renovated 3-bed apartment,1900.0,apartment,2601.0,5.0,4.0,3.0,2689999.0,163
Paris 16th District - An apartment with a 41 sqm terrace,1965.0,apartment,2601.0,5.0,3.0,2.0,2700000.0,150
Paris 8th District - A spacious family apartment,1880.0,apartment,2601.0,5.0,5.0,4.0,2700000.0,180
Paris 5th on Quai de la Tournelle accross Ile St Louis,1965.0,apartment,2601.0,5.0,1.0,1.0,2749999.0,86
Paris 16th District - A bright 3-bed apartment,1990.0,apartment,2601.0,5.0,3.0,3.0,2749999.0,145
Paris 5th District - A sunny 3-bed apartment,1900.0,apartment,2601.0,5.0,3.0,2.0,2749999.0,149
Paris 17th District - A 3-bed apartment with a superb roof terrace,1970.0,apartment,2601.0,5.0,2.0,3.0,2790000.0,116
Paris 9th District - A renovated 3/4 bed apartment,1860.0,apartment,2601.0,5.0,4.0,2.0,2799999.0,224
Paris 7th District - An ideal pied a terre,1850.0,apartment,2601.0,5.0,2.0,2.0,2799999.0,93
Paris 6th District - A spacious 3-bed apartment,1920.0,apartment,2601.0,5.0,3.0,0.0,2799999.0,158
Paris 7th District - An elegant 3/4 bed apartment,1914.0,apartment,2601.0,5.0,3.0,2.0,2830000.0,158
Paris 7th District - An elegant pied a terre,1880.0,apartment,2601.0,5.0,2.0,2.0,2840000.0,106
Paris 16th District - A 4/5 bed apartment with a balcony,1910.0,apartment,2601.0,5.0,5.0,3.0,2849999.0,225
Paris 7th District - An ideal pied a terre,1800.0,apartment,2601.0,5.0,2.0,2.0,2849999.0,123
Paris 7th District - An elegant 3-bed appartment front of the garden,1863.0,apartment,2601.0,5.0,3.0,2.0,2849999.0,126
Paris 16th District - A renovated pied a terre,1970.0,apartment,2601.0,5.0,2.0,0.0,2889999.0,118
Paris 17th District - A period Town House with great potential,1900.0,villa/townhouse,2601.0,5.0,5.0,2.0,2900000.0,297
Paris 16th District - A superb apartment with a garden,1902.0,apartment,2601.0,5.0,3.0,3.0,2950000.0,237
Paris 16th District - A 6-bed family apartment with a balcony,1926.0,apartment,2601.0,5.0,6.0,0.0,2950000.0,240
Paris 17th District - A 267 sqm apartment,1890.0,apartment,2601.0,5.0,5.0,0.0,2950000.0,246
Paris 7th District - A renovated 4-bed apartment,1975.0,apartment,2601.0,5.0,4.0,3.0,2990000.0,159
Paris 16th District - A bright 3-bed apartment,1930.0,apartment,2601.0,5.0,3.0,0.0,2990000.0,147
"Paris 6th District - Saint-Germain-des-PrÃ©s, two bedrooms.",1850.0,apartment,2601.0,5.0,2.0,2.0,3000000.0,144
Paris 7th District - An ideal pied a terre in a prime location,1820.0,apartment,2601.0,5.0,2.0,1.0,3000000.0,102
Paris 7th District - An ideal pied a terre,1800.0,apartment,2601.0,5.0,2.0,2.0,3097500.0,115
Paris 16th district Place des Etats-Unis,1880.0,apartment,2601.0,5.0,3.0,2.0,3099999.0,140
Paris 16th District - A superb 3-bed apartment,1880.0,apartment,2601.0,5.0,3.0,0.0,3099999.0,140
Paris 8th District - An ideal pied a terre,1890.0,apartment,2601.0,5.0,2.0,2.0,3099999.0,148
Paris XVIIe - Wagram. Wagram. AmpÃ¨re.,1903.0,apartment,2601.0,5.0,4.0,3.0,3099999.0,253
Paris 18th District - A spacious family home with terraces,2016.0,villa/townhouse,2601.0,5.0,7.0,3.0,3119999.0,235
Paris 15th District - A renovated 3-bed apartment,1900.0,apartment,2601.0,5.0,4.0,3.0,3130000.0,126
Paris 6th District - A bright 3/4 bed apartment,1870.0,apartment,2601.0,5.0,3.0,2.0,3149999.0,123
Paris 8th District - A superb pied a terre,1860.0,apartment,2601.0,5.0,2.0,2.0,3189999.0,104
Paris 14th District - A 5-bed apartment with a garden,1992.0,apartment,2601.0,5.0,5.0,0.0,3200000.0,212
"Paris,ÃŽle-de-France,France",1890.0,apartment,2601.0,5.0,3.0,3.0,3200000.0,148
Paris 7th District - A 3-bed apartment enjoying superb views,1910.0,apartment,2601.0,5.0,3.0,1.0,3200000.0,126
Paris 16th District - A bright and peaceful 3-bed apartment,1929.0,apartment,2601.0,5.0,3.0,0.0,3200000.0,196
Paris 16th District - A bright 4-bed apartment,1920.0,apartment,2601.0,5.0,4.0,0.0,3250000.0,212
Paris 7th District - An exceptional 3-bed apartment,1834.0,apartment,2601.0,5.0,3.0,2.0,3290000.0,118
Paris 17th District - A superb apartment in a prime location,1910.0,apartment,2601.0,5.0,4.0,2.0,3300000.0,183
Paris 17th District - A superb pied a terre,1900.0,apartment,2601.0,5.0,2.0,2.0,3360000.0,138
Paris 8th District - A superbly renovated 2/3 bed apartment,1880.0,apartment,2601.0,5.0,3.0,3.0,3360000.0,135
Paris 7th District - An ideal pied a terre in a prime location,1900.0,apartment,2601.0,5.0,2.0,2.0,3369999.0,105
Paris 16th District - An elegant 5-bed apartment,1900.0,apartment,2601.0,5.0,9.0,2.0,3390000.0,192
Paris 16th District - A superb top-floor apartment with a terrace,1970.0,apartment,2601.0,5.0,3.0,3.0,3399999.0,162
Paris 8th District - An elegant pied a terre in a prime location,1900.0,apartment,2601.0,5.0,2.0,2.0,3439999.0,132
Paris 8th District - A superb pied a terre,1950.0,apartment,2601.0,5.0,2.0,2.0,3464999.0,106
Paris 17th District - A magnificent 6-bed apartment,1915.0,apartment,2601.0,5.0,6.0,4.0,3500000.0,333
Paris 8th District - A renovated apartment in a prime location,1840.0,apartment,2601.0,5.0,3.0,3.0,3500000.0,168
Paris 6th District - An ideal pied a terre,1850.0,apartment,2601.0,5.0,3.0,3.0,3500000.0,132
Paris VIe - Jardin du Luxembourg,1930.0,apartment,2601.0,5.0,5.0,3.0,3550000.0,205
Paris 17th District - An elegant 4-bed apartment,1913.0,apartment,2601.0,5.0,4.0,4.0,3579999.0,274
Paris 16th District - A superb 4-bed family home,1900.0,villa/townhouse,2601.0,5.0,4.0,4.0,3599999.0,247
"Paris 15th District, on the edge of the 7th District - An ideal pied a terre",1965.0,apartment,2601.0,5.0,3.0,3.0,3674999.0,117
Paris 16th District - Benjamin Godard - 160 sqm with 3 bedrooms,1900.0,apartment,2601.0,5.0,3.0,3.0,3690000.0,158
Paris 16th District - A 3-bed apartment with a garden,1900.0,apartment,2601.0,5.0,4.0,2.0,3750000.0,222
Paris 16th District - A peaceful 3-bed apartment enjoying an open view,1960.0,apartment,2601.0,5.0,6.0,4.0,3750000.0,324
Paris 6th District - A bright and spacious 2/3 bed apartment,1859.0,apartment,2601.0,5.0,3.0,3.0,3795000.0,178
Paris 14th District - A renovated architect-designed property,1892.0,apartment,2601.0,5.0,4.0,4.0,3839999.0,212
Paris 16th District - A superb 3-bed apartment in an iconic buildng,1931.0,apartment,2601.0,5.0,3.0,2.0,3850000.0,212
Paris 4e - Place des Vosges,1612.0,apartment,2601.0,5.0,2.0,1.0,3899999.0,128
Paris 14th District - An exceptional 4-bed family home,1860.0,villa/townhouse,2601.0,5.0,4.0,3.0,3899999.0,314
Paris 8th District - A 3-bed apartment in a prime location,1962.0,apartment,2601.0,5.0,3.0,3.0,3949999.0,178
Paris 5th District - An elegant 3-bed apartment in a prime location,1930.0,apartment,2601.0,5.0,3.0,3.0,3949999.0,192
Paris 8th District - A 3-bed apartment with a balcony,1900.0,apartment,2601.0,5.0,3.0,2.0,3949999.0,193
Paris 7th District - A bright 3-bed apartment,1700.0,apartment,2601.0,5.0,3.0,2.0,3960000.0,186
Paris 14th District - A peaceful architect-designed property,2007.0,villa/townhouse,2601.0,5.0,5.0,5.0,3980000.0,326
Paris 8th District - A superb 3-bed apartment,1880.0,apartment,2601.0,5.0,3.0,0.0,3990000.0,157
Paris 16th District - A superb 2/3 bed apartment,1930.0,apartment,2601.0,5.0,3.0,2.0,3990000.0,204
Paris 4th District - An ideal pied a terre,1607.0,apartment,2601.0,5.0,2.0,1.0,3990000.0,174
Paris 8th District - An elegant 3-bed apartment,1880.0,apartment,2601.0,5.0,3.0,2.0,3990000.0,242
Paris 16th District - A renovated floor through apartment.,1900.0,apartment,2601.0,5.0,3.0,2.0,3999999.0,234
Paris 6th District - A tastefully renovated three-bed apartment.,1900.0,apartment,2601.0,5.0,3.0,2.0,4100000.0,154
Paris 6th District - A renovated 4-bed apartment,1850.0,apartment,2601.0,5.0,4.0,0.0,4195000.0,166
Paris 1st District - A magnificent 300 sqm apartment,1860.0,apartment,2601.0,5.0,4.0,3.0,4199999.0,295
Paris 4th District - An exceptional 2/3 bed apartment in a prime location,1600.0,apartment,2601.0,5.0,2.0,2.0,4266000.0,143
Paris 1st District - An elegant 6-room apartment,1750.0,apartment,2601.0,5.0,3.0,0.0,4355000.0,178
"Paris,ÃŽle-de-France,France",1894.0,apartment,2601.0,5.0,4.0,4.0,4429999.0,235
Paris 7th District - Barbet de Jouy - 3/4 bed apartment,1980.0,apartment,2601.0,5.0,4.0,2.0,4499999.0,177
Paris 16th District - A superb 4-bed apartment,1930.0,apartment,2601.0,5.0,4.0,0.0,4499999.0,349
Paris 16th District - A spacious apartment enjoying open views,1890.0,apartment,2601.0,5.0,6.0,0.0,4549999.0,359
16th District - Square Lamartine - Victor Hugo,1900.0,apartment,2601.0,5.0,5.0,3.0,4580000.0,277
Paris 7th District - A bright 3-bed apartment enjoying superb views,1913.0,apartment,2601.0,5.0,3.0,2.0,4700000.0,175
Paris 3rd District - An exceptional 3-bed apartment in a period private mansion,1754.0,apartment,2601.0,5.0,3.0,2.0,4869999.0,171
Paris 8th District - A magnificent split-level apartment,1927.0,apartment,2601.0,5.0,5.0,6.0,4900000.0,282
Paris 8th District - Avenue Montaigne,1930.0,apartment,2601.0,5.0,3.0,0.0,4900000.0,213
Paris 8th District - A meticulously renovated 3-bed apartment,1880.0,apartment,2601.0,5.0,3.0,0.0,4950000.0,158
Paris 16th District - An elegant 4-bed apartment,1890.0,apartment,2601.0,5.0,4.0,4.0,4984999.0,280
Paris 8th District - A superb 3-bed apartment,1850.0,apartment,2601.0,5.0,3.0,2.0,5000000.0,195
Paris 7th District - Prime location,1929.0,apartment,2601.0,5.0,4.0,4.0,0.0,270
Paris 6th District - BEAUX- ARTS - 3-bed workshop-style apartment,1805.0,apartment,2601.0,5.0,3.0,2.0,5200000.0,168
Paris 8th District - An elegant apartment with an extensive terrace,1960.0,apartment,2601.0,5.0,3.0,2.0,5200000.0,166
Paris 16th District - An exceptional private mansion,1880.0,villa/townhouse,2601.0,5.0,5.0,3.0,5250000.0,223
Paris 16th District - An exceptional 3-bed apartment enjoying stunning views,1925.0,apartment,2601.0,5.0,3.0,0.0,5399999.0,217
Paris 6th District - A renovated 5-room apartment,1950.0,apartment,2601.0,5.0,3.0,2.0,5399999.0,196
Paris 5th District - A superb 5-bed apartment,1927.0,apartment,2601.0,5.0,5.0,3.0,5489999.0,253
Paris 16th District - A superb 4-bed apartment,1895.0,apartment,2601.0,5.0,4.0,0.0,5494999.0,207
Paris 8th District - An exceptional 3-bed apartment in a prime location,1900.0,apartment,2601.0,5.0,3.0,3.0,5600000.0,184
Paris 16th District - An elegant 3-bed apartment with a balcony,1900.0,apartment,2601.0,5.0,3.0,3.0,5685000.0,198
"Paris,ÃŽle-de-France,France",1900.0,apartment,2601.0,5.0,4.0,4.0,5699999.0,237
Paris 6th District - Business premises,1880.0,commercial / office,2601.0,5.0,3.0,1.0,5750376.0,257
Paris 16th District - Ideal business premises,1905.0,apartment,2601.0,5.0,4.0,0.0,5800000.0,316
"Paris 16th District - A unique panoramic view of Eiffel Tower and Seine, magnificent 3-bed apartment",1925.0,apartment,2601.0,5.0,4.0,2.0,5800000.0,207
Paris 8th District - An exceptional 4-bed apartment with a leafy garden,1900.0,apartment,2601.0,5.0,4.0,0.0,5850000.0,311
Paris 8th District - A superb pied a terre with a terrace,1920.0,apartment,2601.0,5.0,2.0,2.0,5899999.0,134
Paris 7th District - A renovated 4-bed apartment commanding an exceptional view,1910.0,apartment,2601.0,5.0,4.0,3.0,5899999.0,204
Paris 8th District - An exceptional 3-bed apartment,1896.0,apartment,2601.0,5.0,4.0,3.0,5899999.0,183
Paris 7th District - A magnificent apartment with a garden,1892.0,apartment,2601.0,5.0,4.0,4.0,5949999.0,271
Paris 8th District - An exceptional 3-bed apartment,1910.0,apartment,2601.0,5.0,3.0,0.0,6199999.0,307
Paris 16th District - A superb pied a terre,1930.0,apartment,2601.0,5.0,2.0,2.0,6240000.0,144
Paris 8th District - A meticulously renovated 3-bed apartment,1840.0,apartment,2601.0,5.0,3.0,3.0,6299999.0,217
Paris 16th District - A 4-bed apartment enjoying an Eiffel Tower view,1890.0,apartment,2601.0,5.0,3.0,0.0,6400000.0,282
Paris 16th District - An elegant 4-bed apartment,1930.0,apartment,2601.0,5.0,4.0,4.0,0.0,334
Paris 4th District - A magnificent apartment in an exceptional location,1950.0,apartment,2601.0,5.0,3.0,1.0,6499999.0,225
Paris 1st District - An elegant 3/4 bed apartment,1820.0,apartment,2601.0,5.0,4.0,3.0,6499999.0,188
Paris 16th District - A superb 4-bed apartment,1900.0,apartment,2601.0,5.0,4.0,0.0,6670000.0,277
Paris 7th District - A superb 350 sqm Hotel Particulier..,1823.0,villa/townhouse,2601.0,5.0,3.0,0.0,0.0,346
Paris 8th District - A spacious apartment in a prime location,1880.0,apartment,2601.0,5.0,6.0,0.0,7099999.0,221
Paris 16th District - An exceptional private mansion,1930.0,villa/townhouse,2601.0,5.0,6.0,0.0,7449999.0,346
Paris 7th District - A magnificent 3-bed apartment,1750.0,apartment,2601.0,5.0,3.0,3.0,7592000.0,187
Paris 8th District - A spacious apartment with great potential,1870.0,apartment,2601.0,5.0,7.0,0.0,7900000.0,386
Paris 8th District - A magnificent duplex apartment in a prime location,1962.0,apartment,2601.0,5.0,3.0,0.0,8400000.0,183
Paris 16th District - An exceptional private mansion,1930.0,villa/townhouse,2601.0,5.0,4.0,3.0,0.0,390
Paris 7th District - An exceptional pied a terre,1938.0,apartment,2601.0,5.0,3.0,3.0,0.0,282
Paris 8th District - A magnificent 3-bed apartment,1891.0,apartment,2601.0,5.0,3.0,3.0,8899999.0,245
Paris 8th District - An exceptional apartment in a prime location,1860.0,apartment,2601.0,5.0,4.0,5.0,0.0,334
Paris 16th District - A magnificent private mansion,1930.0,apartment,2601.0,5.0,4.0,3.0,9600000.0,405
Paris 7th District - An exceptional family apartment,1925.0,apartment,2601.0,5.0,5.0,2.0,0.0,263
Paris 8th District - A superb penthouse apartment with terraces,1930.0,apartment,2601.0,5.0,3.0,0.0,9749999.0,222
Paris 16th District - Place des Etats-Unis,1911.0,apartment,2601.0,5.0,3.0,3.0,9949999.0,332
Paris 6th District - A superb period property,1850.0,villa/townhouse,2601.0,5.0,15.0,0.0,10200000.0,529
Paris 16th District - A magnificent private mansion in a prime location,1900.0,villa/townhouse,2601.0,5.0,5.0,3.0,0.0,430
Paris 16th District - An exceptional penthouse apartment,1969.0,apartment,2601.0,5.0,4.0,2.0,10950000.0,293
Paris 7th District - A magnificent pied a terre bathed in sunshine,2013.0,apartment,2601.0,5.0,3.0,0.0,11000000.0,224
Paris 1st District - Exceptional apartment - Stunning view,1840.0,apartment,2601.0,5.0,2.0,0.0,11500000.0,239
Paris 16th - Place des Etats-Unis,1911.0,apartment,2601.0,5.0,3.0,4.0,0.0,389
Paris 16th District - A magnificent apartment with a garden,1931.0,apartment,2601.0,5.0,5.0,3.0,12360000.0,543
"Paris,ÃŽle-de-France,France",1902.0,apartment,2601.0,5.0,5.0,3.0,12599999.0,371
Paris 8th District - A magnificent 10-room private mansion,1880.0,villa/townhouse,2601.0,5.0,5.0,4.0,12899999.0,367
Paris 7th District - An exceptional apartment in a prime location,1931.0,apartment,2601.0,5.0,4.0,0.0,13949999.0,502
Paris 16th District - An exceptional 5-bed apartment,1917.0,apartment,2601.0,5.0,5.0,5.0,14800000.0,438
Paris 1st District - An exceptional period Town House,1850.0,villa/townhouse,2601.0,5.0,4.0,0.0,0.0,337
Paris 16th District - A stoneâ€™s throw from the Arc de Triomphe,1990.0,apartment,2601.0,5.0,7.0,0.0,0.0,506
