id,room_type,room_sharing,room_private,person_capacity,host_status,multi_listing,business_listing,cleanliness_rating,guest_satisfaction_rating,bedrooms,dist_city,dist_metro,attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude,price
1941,Entire home/apt,False,False,4,False,0,0,9,95,1,2.217175067,0.19919881,269.4279034,13.10095137,705.6477995,32.55317836,2.38129,48.86313,278.2179141
1942,Private room,False,True,2,False,1,0,10,97,1,2.737418909,0.129902206,255.9097292,12.44362916,610.9436422,28.18425476,2.35696,48.8321,267.499301
1943,Entire home/apt,False,False,2,True,1,0,10,98,0,5.229936429,0.370170658,166.4592953,8.09409532,370.9294704,17.11184137,2.38208,48.89945,171.031783
1944,Entire home/apt,False,False,4,False,0,0,9,95,2,2.250535878,0.217462224,295.388962,14.36330973,671.7431324,30.98907701,2.35605,48.83644,394.0255383
1945,Entire home/apt,False,False,2,False,0,0,10,96,1,4.68229232,0.37929829,180.7153898,8.787298954,420.0691458,19.37876917,2.38596,48.89254,242.1008482
1946,Entire home/apt,False,False,4,False,0,0,10,88,2,5.250979988,0.183055188,165.6407173,8.054291909,369.8564494,17.06234041,2.38494,48.89876,793.7599030000001
1947,Entire home/apt,False,False,4,False,1,0,8,88,1,1.788053364,0.290504202,294.4237562,14.31637652,765.341755,35.30699972,2.37677,48.85929,341.5975394
1948,Private room,False,True,2,False,1,0,10,96,1,4.688603481,0.140558919,161.963057,7.875465409,361.8608885,16.69348654,2.40801,48.83539,134.4486905
1949,Entire home/apt,False,False,2,True,0,0,10,99,1,2.276415007,0.153929403,261.270979,12.70432033,684.497056,31.57744525,2.38152,48.86424,370.7242054
1950,Entire home/apt,False,False,4,False,0,0,9,90,3,4.302502883,0.287481785,160.6025297,7.809309669,384.91623,17.7570832,2.41032,48.84919,312.7038867
1951,Private room,False,True,2,False,1,0,10,96,1,2.781553438,0.19510856,251.0116787,12.20546111,615.6409396,28.40095204,2.35814,48.8318,317.5971666
1952,Private room,False,True,2,True,1,0,10,98,1,4.432490902,0.14969634,161.3232845,7.844356425,386.3656436,17.82394803,2.40517,48.83675,359.073539
1953,Private room,False,True,2,True,1,0,10,98,1,4.550806782,0.106610667,159.7990306,7.770239468,375.4152058,17.3187788,2.40674,48.83642,359.073539
