,Type,Rental type,Acreage,Bedrooms,Price/month_new
148,0.0,2.0,34.0,1.0,1744.0
149,0.0,2.0,55.0,1.0,4068.0
150,0.0,2.0,70.0,2.0,3723.0
151,0.0,2.0,62.0,1.0,2970.0
152,0.0,2.0,48.0,1.0,2014.0
153,0.0,2.0,59.0,2.0,2014.0
154,0.0,2.0,66.0,1.0,2014.0
155,0.0,2.0,60.0,1.0,2014.0
156,0.0,2.0,39.0,1.0,2014.0
157,0.0,2.0,36.0,1.0,1976.0
158,0.0,2.0,48.0,1.0,2361.0
159,0.0,2.0,67.0,2.0,2544.0
160,0.0,2.0,65.0,2.0,2592.0
161,0.0,2.0,27.0,1.0,2022.0
162,0.0,2.0,36.0,1.0,1800.0
163,0.0,2.0,53.0,1.0,2051.0
164,0.0,2.0,42.0,1.0,2051.0
165,0.0,2.0,46.0,1.0,3174.0
166,0.0,2.0,32.0,1.0,2051.0
167,0.0,2.0,37.0,1.0,2157.0
168,0.0,2.0,50.0,1.0,2068.0
169,0.0,2.0,35.0,1.0,2008.0
170,0.0,2.0,45.0,1.0,3296.0
171,0.0,2.0,47.0,1.0,1980.0
172,0.0,2.0,24.0,1.0,2999.0
173,0.0,2.0,49.0,1.0,1750.0
174,0.0,2.0,50.0,1.0,4334.0
175,0.0,2.0,51.0,1.0,2110.0
176,0.0,2.0,62.0,1.0,2650.0
177,0.0,2.0,29.0,1.0,2592.0
178,0.0,2.0,42.0,1.0,1680.0
179,0.0,2.0,40.0,1.0,2150.0
180,0.0,2.0,59.0,1.0,2160.0
181,0.0,2.0,30.0,1.0,1656.0
182,0.0,2.0,57.0,1.0,2189.0
183,0.0,2.0,36.0,1.0,3199.0
184,0.0,2.0,24.0,1.0,3150.0
185,0.0,2.0,32.0,1.0,1750.0
186,0.0,2.0,37.0,1.0,3391.0
187,0.0,2.0,50.0,1.0,3750.0
188,0.0,2.0,22.0,1.0,1900.0
189,0.0,2.0,40.0,1.0,2734.0
190,0.0,2.0,24.0,1.0,1443.0
191,0.0,2.0,28.0,1.0,1500.0
192,0.0,2.0,27.0,1.0,4864.0
193,0.0,2.0,49.0,2.0,2809.0
194,0.0,2.0,65.0,2.0,2268.0
195,0.0,2.0,66.0,1.0,2289.0
196,0.0,2.0,32.0,1.0,2034.0
197,0.0,2.0,34.0,1.0,1473.0
198,0.0,2.0,29.0,1.0,1479.0
199,0.0,2.0,68.0,1.0,4700.0
200,0.0,2.0,25.0,1.0,1800.0
201,0.0,2.0,37.0,1.0,2050.0
202,0.0,2.0,57.0,1.0,2808.0
203,0.0,2.0,45.0,1.0,2750.0
204,0.0,2.0,25.0,1.0,1783.0
205,0.0,2.0,59.0,1.0,2280.0
206,0.0,2.0,40.0,1.0,2033.0
207,0.0,1.0,66.0,2.0,1950.0
208,1.0,1.0,150.0,3.0,2500.0
209,0.0,2.0,33.0,1.0,1553.0
210,0.0,2.0,54.0,2.0,2545.0
211,0.0,2.0,42.0,1.0,3472.0
212,0.0,2.0,42.0,1.0,2300.0
213,0.0,2.0,35.0,1.0,2192.0
214,0.0,2.0,39.0,1.0,2311.0
215,0.0,2.0,57.0,1.0,2332.0
216,0.0,2.0,38.0,1.0,2650.0
217,0.0,2.0,50.0,1.0,2650.0
218,0.0,2.0,59.0,2.0,2650.0
219,0.0,2.0,57.0,2.0,2682.0
220,0.0,2.0,50.0,2.0,2393.0
221,0.0,2.0,34.0,1.0,2123.0
222,0.0,2.0,38.0,1.0,2185.0
223,0.0,2.0,39.0,1.0,3651.0
224,0.0,2.0,37.0,1.0,1980.0
225,0.0,2.0,50.0,2.0,2484.0
226,0.0,2.0,34.0,1.0,2797.0
227,0.0,2.0,30.0,1.0,3100.0
228,0.0,2.0,46.0,1.0,2507.0
