,Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Elevator,Available_date,Description,Arrondissement_Name
2270,Notre Dame - Paris,75005,5,20,1161,1,1,0,0.0,11-01-2025,"This cozy 20 square meters , Studio, apartment is located on rue de la Bûcherie in the 5th arrondissement, on the ground floor of a 18th century walk up building and it sleeps 1 person. This apartment is equipped with : cable, TV, unlimited high speed internet access, phone.",Panthéon
2271,Notre Dame - Paris,75005,5,42,1935,1,4,4,0.0,01-07-2024,"This charming 42 square meters , 1 Bedroom, apartment is located on rue Saint Severin in the 5th arrondissement, on the 4 th French floor of a 18th century walk up building and it sleeps 4 people. This apartment is equipped with : dishwasher, cable, TV, unlimited high speed internet access with the wifi, washer.",Panthéon
2272,Pereire - Paris,75017,17,51,2151,1,2,2,1.0,01-01-2026,"This comfortable and tastefully decorated 51 square meters , 1 Bedroom, apartment is located on rue Laugier in the 17th arrondissement, on the 2 nd French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Batignolles-Monceau
2273,Daumesnil - Paris,75012,12,56,2151,1,2,3,1.0,01-01-2026,"This tastefully decorated and spacious 56 square meters , 1 Bedroom, apartment is located on boulevard de Reuilly in the 12th arrondissement, on the 3 rd French floor of a building built in 1930 and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, radio, decorative fireplace.",Reuilly
2274,Montmartre - Sacré Coeur - Paris,75018,18,27,1251,1,4,0,0.0,01-01-2026,"This charming and delightful 27 square meters , 1 Bedroom, apartment is located on rue Berthe in the 18th arrondissement, on the ground floor of a 19th century building and it sleeps 4 people. This apartment is equipped with : TV, unlimited high speed internet access with the wifi, phone.",Butte-Montmartre
2275,Sèvres - Paris,75015,15,35,1800,1,2,8,1.0,04/30/2026,"This delightful and tastefully decorated 35 square meters , 1 Bedroom, apartment is located on boulevard Garibaldi in the 15th arrondissement, on the 8 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, balcony, A/C.",Vaugirard
2276,Saint-Germain-des-Prés - Paris,75007,7,40,1851,1,2,5,0.0,06-01-2026,"This original and very well situated 40 square meters , 1 Bedroom, apartment is located on rue de Lille in the 7th arrondissement, on the 5 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access with the wifi.",Palais-Bourbon
2277,Ile Saint Louis - Paris,75004,4,18,1249,1,2,2,0.0,07-01-2026,"This charming 18 square meters , Studio, apartment is located on rue Saint Louis en l Île in the 4th arrondissement, on the 2 nd French floor of a 18th century walk up building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access with the wifi, washer.",Hôtel-de-Ville
2278,Bercy - Paris,75012,12,70,1667,1,2,5,1.0,now,"This charming and delightful 70 square meters , 1 Bedroom, apartment is located on rue des Jardiniers in the 12th arrondissement, on the 5 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, balcony.",Reuilly
2279,Montparnasse - Paris,75006,6,40,1828,1,4,5,0.0,now,"This charming and delightful 40 square meters , Alcove Studio, apartment is located on rue du Cherche Midi in the 6th arrondissement, on the 5 th French floor of a 19th century walk up building and it sleeps 4 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access with the wifi, phone, stereo.",Luxembourg
