,Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Elevator,Available_date,
32,Arc de Triomphe - Paris,75017,17,45,2000,1,2,6,1,07/20/2024,
33,Charonne - Paris,75020,20,36,1700,1,2,5,0,01-07-2024,
34,Convention - Paris,75015,15,66,2389,2,4,7,1,09-04-2024,
35,Champs de Mars - Tour Eiffel - Paris,75007,7,41,1990,1,4,0,0,now,
36,Vaugirard - Paris,75015,15,45,1800,1,2,0,0,07/18/2024,
37,Cadet - Paris,75009,9,28,1490,1,2,6,0,07/18/2024,
38,Nation - Paris,75011,11,69,2400,2,4,4,1,08-01-2024,
39,Boulogne Billancourt,92100,92,18,1049,1,2,5,1,08-01-2024,
40,Bonne Nouvelle - Paris,75010,10,39,1651,1,2,6,0,08-07-2025,
41,Le Marais - Paris,75003,3,25,1851,1,2,4,1,07/18/2024,
42,Jules Joffrin - Paris,75018,18,22,1100,1,1,3,0,10-01-2024,
43,Montmartre - Sacré Coeur - Paris,75018,18,40,1949,1,2,1,0,07/18/2024,
44,Anvers - Paris,75009,9,53,2351,1,2,3,0,07/18/2024,
45,La Chapelle - Paris,75018,18,36,1449,1,2,5,1,now,
46,Le Marais - Paris,75004,4,40,1900,1,2,1,0,07/18/2024,
47,Boulogne Billancourt,92100,92,40,1700,1,2,4,1,07/18/2024,
48,Montmartre - Sacré Coeur - Paris,75018,18,41,1900,1,2,4,1,07/18/2024,
49,Exelmans - Paris,75016,16,49,1800,1,2,1,0,now,
50,Pereire - Paris,75017,17,29,1490,1,2,9,1,07/18/2024,
51,Batignolles - Paris,75017,17,51,2460,2,4,2,0,07/18/2024,
52,Champs de Mars - Tour Eiffel - Paris,75007,7,25,1700,1,2,1,1,07/18/2024,
53,Champs-Élysées - Paris,75008,8,154,6500,3,5,2,1,07/18/2024,
54,Jardin du Luxembourg - Paris,75006,6,60,2249,1,2,3,0,now,
55,Champs de Mars - Tour Eiffel - Paris,75016,16,37,2151,1,2,5,1,07/18/2024,
56,Parc Monceau - Paris,75008,8,25,1400,1,2,0,0,now,
57,Miromesnil - Paris,75008,8,30,2400,2,2,0,0,07/18/2024,
58,Champs-Élysées - Paris,75008,8,93,4000,1,2,4,1,08-01-2024,
59,Arc de Triomphe - Paris,75008,8,14,1190,1,1,8,1,08/13/2024,
60,Champs-Élysées - Paris,75008,8,154,6500,3,5,2,1,07/18/2024,
61,Saint Lazare - Paris,75008,8,101,6200,2,3,2,1,08-03-2024,
62,Champs-Élysées - Paris,75008,8,56,3400,1,2,1,1,01-07-2024,
63,Ternes - Paris,75008,8,25,1460,1,2,0,0,07/18/2024,
64,Arc de Triomphe - Paris,75008,8,25,1500,1,2,4,1,07/18/2024,
65,Champs-Élysées - Paris,75008,8,33,2500,1,2,5,1,08-03-2024,
66,Champs-Élysées - Triangle d'Or - Paris,75008,8,42,2890,1,2,1,1,07/18/2024,
67,Champs-Élysées - Paris,75008,8,36,2280,1,2,4,1,07/18/2024,
68,Miromesnil - Paris,75008,8,58,2849,2,4,5,1,07/18/2024,
69,Champs-Élysées - Triangle d'Or - Paris,75008,8,34,2473,1,2,4,1,08/29/2024,
70,Madeleine - Paris,75008,8,75,5215,2,6,6,1,now,
71,Saint Augustin - Paris,75008,8,50,2634,1,3,2,1,now,
72,Miromesnil - Paris,75008,8,97,5000,3,5,4,1,05/18/2025,
73,Arc de Triomphe - Paris,75008,8,29,1500,1,2,0,0,01-07-2024,
74,Champs-Élysées - Paris,75008,8,20,1400,1,2,6,1,10/14/2024,
75,Saint Lazare - Paris,75008,8,70,3000,2,4,0,0,03/31/2025,
76,Champs-Élysées - Paris,75008,8,25,1500,1,2,1,1,04/14/2025,
77,Madeleine - Paris,75008,8,18,1090,1,2,5,0,09-09-2024,
78,Arc de Triomphe - Paris,75008,8,39,2000,1,2,1,1,07/18/2024,
79,Place de Clichy - Paris,75008,8,29,1316,1,2,0,0,07/18/2024,
80,Champs-Élysées - Paris,75008,8,33,2449,1,2,3,1,07/18/2024,
81,Champs-Élysées - Paris,75008,8,55,3226,1,2,2,1,09-09-2024,
82,Saint Lazare - Paris,75008,8,42,1949,1,2,3,1,06-04-2025,
83,Parc Monceau - Paris,75008,8,25,1400,1,2,0,0,now,
84,Miromesnil - Paris,75008,8,30,2400,2,2,0,0,07/18/2024,
85,Champs-Élysées - Paris,75008,8,93,4000,1,2,4,1,08-01-2024,
86,Arc de Triomphe - Paris,75008,8,14,1190,1,1,8,1,08/13/2024,
87,Champs-Élysées - Paris,75008,8,154,6500,3,5,2,1,07/18/2024,
88,Saint Lazare - Paris,75008,8,101,6200,2,3,2,1,08-03-2024,
89,Champs-Élysées - Paris,75008,8,56,3400,1,2,1,1,01-07-2024,
90,Ternes - Paris,75008,8,25,1460,1,2,0,0,07/18/2024,
91,Arc de Triomphe - Paris,75008,8,25,1500,1,2,4,1,07/18/2024,
92,Champs-Élysées - Paris,75008,8,33,2500,1,2,5,1,08-03-2024,
93,Champs-Élysées - Triangle d'Or - Paris,75008,8,42,2890,1,2,1,1,07/18/2024,
94,Champs-Élysées - Paris,75008,8,36,2280,1,2,4,1,07/18/2024,
95,Miromesnil - Paris,75008,8,58,2849,2,4,5,1,07/18/2024,
96,Champs-Élysées - Triangle d'Or - Paris,75008,8,34,2473,1,2,4,1,08/29/2024,
97,Madeleine - Paris,75008,8,75,5215,2,6,6,1,now,
98,Saint Augustin - Paris,75008,8,50,2634,1,3,2,1,now,
99,Miromesnil - Paris,75008,8,97,5000,3,5,4,1,05/18/2025,
100,Arc de Triomphe - Paris,75008,8,29,1500,1,2,0,0,01-07-2024,
101,Champs-Élysées - Paris,75008,8,20,1400,1,2,6,1,10/14/2024,
102,Saint Lazare - Paris,75008,8,70,3000,2,4,0,0,03/31/2025,
103,Champs-Élysées - Paris,75008,8,25,1500,1,2,1,1,04/14/2025,
104,Madeleine - Paris,75008,8,18,1090,1,2,5,0,09-09-2024,
105,Arc de Triomphe - Paris,75008,8,39,2000,1,2,1,1,07/18/2024,
106,Place de Clichy - Paris,75008,8,29,1316,1,2,0,0,07/18/2024,
107,Champs-Élysées - Paris,75008,8,33,2449,1,2,3,1,07/18/2024,
108,Champs-Élysées - Paris,75008,8,55,3226,1,2,2,1,09-09-2024,
109,Saint Lazare - Paris,75008,8,42,1949,1,2,3,1,06-04-2025,
110,Parc Monceau - Paris,75008,8,25,1400,1,2,0,0,now,
111,Miromesnil - Paris,75008,8,30,2400,2,2,0,0,07/18/2024,
112,Champs-Élysées - Paris,75008,8,93,4000,1,2,4,1,08-01-2024,
113,Arc de Triomphe - Paris,75008,8,14,1190,1,1,8,1,08/13/2024,
114,Champs-Élysées - Paris,75008,8,154,6500,3,5,2,1,07/18/2024,
115,Saint Lazare - Paris,75008,8,101,6200,2,3,2,1,08-03-2024,
116,Champs-Élysées - Paris,75008,8,56,3400,1,2,1,1,01-07-2024,
117,Ternes - Paris,75008,8,25,1460,1,2,0,0,07/18/2024,
118,Arc de Triomphe - Paris,75008,8,25,1500,1,2,4,1,07/18/2024,
119,Champs-Élysées - Paris,75008,8,33,2500,1,2,5,1,08-03-2024,
120,Champs-Élysées - Triangle d'Or - Paris,75008,8,42,2890,1,2,1,1,07/18/2024,
121,Champs-Élysées - Paris,75008,8,36,2280,1,2,4,1,07/18/2024,
122,Miromesnil - Paris,75008,8,58,2849,2,4,5,1,07/18/2024,
123,Champs-Élysées - Triangle d'Or - Paris,75008,8,34,2473,1,2,4,1,08/29/2024,
124,Madeleine - Paris,75008,8,75,5215,2,6,6,1,now,
125,Saint Augustin - Paris,75008,8,50,2634,1,3,2,1,now,
126,Miromesnil - Paris,75008,8,97,5000,3,5,4,1,05/18/2025,
127,Arc de Triomphe - Paris,75008,8,29,1500,1,2,0,0,01-07-2024,
128,Champs-Élysées - Paris,75008,8,20,1400,1,2,6,1,10/14/2024,
129,Saint Lazare - Paris,75008,8,70,3000,2,4,0,0,03/31/2025,
130,Champs-Élysées - Paris,75008,8,25,1500,1,2,1,1,04/14/2025,
131,Madeleine - Paris,75008,8,18,1090,1,2,5,0,09-09-2024,
132,Arc de Triomphe - Paris,75008,8,39,2000,1,2,1,1,07/18/2024,
133,Place de Clichy - Paris,75008,8,29,1316,1,2,0,0,07/18/2024,
134,Champs-Élysées - Paris,75008,8,33,2449,1,2,3,1,07/18/2024,
135,Champs-Élysées - Paris,75008,8,55,3226,1,2,2,1,09-09-2024,
136,Saint Lazare - Paris,75008,8,42,1949,1,2,3,1,06-04-2025,
137,Parc Monceau - Paris,75008,8,25,1400,1,2,0,0,now,
138,Miromesnil - Paris,75008,8,30,2400,2,2,0,0,07/18/2024,
139,Champs-Élysées - Paris,75008,8,93,4000,1,2,4,1,08-01-2024,
140,Arc de Triomphe - Paris,75008,8,14,1190,1,1,8,1,08/13/2024,
141,Champs-Élysées - Paris,75008,8,154,6500,3,5,2,1,07/18/2024,
142,Saint Lazare - Paris,75008,8,101,6200,2,3,2,1,08-03-2024,
143,Champs-Élysées - Paris,75008,8,56,3400,1,2,1,1,01-07-2024,
144,Ternes - Paris,75008,8,25,1460,1,2,0,0,07/18/2024,
145,Arc de Triomphe - Paris,75008,8,25,1500,1,2,4,1,07/18/2024,
146,Champs-Élysées - Paris,75008,8,33,2500,1,2,5,1,08-03-2024,
147,Champs-Élysées - Triangle d'Or - Paris,75008,8,42,2890,1,2,1,1,07/18/2024,
148,Champs-Élysées - Paris,75008,8,36,2280,1,2,4,1,07/18/2024,
149,Miromesnil - Paris,75008,8,58,2849,2,4,5,1,07/18/2024,
150,Champs-Élysées - Triangle d'Or - Paris,75008,8,34,2473,1,2,4,1,08/29/2024,
151,Madeleine - Paris,75008,8,75,5215,2,6,6,1,now,
152,Saint Augustin - Paris,75008,8,50,2634,1,3,2,1,now,
153,Miromesnil - Paris,75008,8,97,5000,3,5,4,1,05/18/2025,
154,Arc de Triomphe - Paris,75008,8,29,1500,1,2,0,0,01-07-2024,
155,Champs-Élysées - Paris,75008,8,20,1400,1,2,6,1,10/14/2024,
156,Saint Lazare - Paris,75008,8,70,3000,2,4,0,0,03/31/2025,
157,Champs-Élysées - Paris,75008,8,25,1500,1,2,1,1,04/14/2025,
158,Madeleine - Paris,75008,8,18,1090,1,2,5,0,09-09-2024,
159,Arc de Triomphe - Paris,75008,8,39,2000,1,2,1,1,07/18/2024,
160,Place de Clichy - Paris,75008,8,29,1316,1,2,0,0,07/18/2024,
161,Champs-Élysées - Paris,75008,8,33,2449,1,2,3,1,07/18/2024,
162,Champs-Élysées - Paris,75008,8,55,3226,1,2,2,1,09-09-2024,
163,Saint Lazare - Paris,75008,8,42,1949,1,2,3,1,06-04-2025,
164,Parc Monceau - Paris,75008,8,25,1400,1,2,0,0,now,
165,Miromesnil - Paris,75008,8,30,2400,2,2,0,0,07/18/2024,
166,Champs-Élysées - Paris,75008,8,93,4000,1,2,4,1,08-01-2024,
167,Arc de Triomphe - Paris,75008,8,14,1190,1,1,8,1,08/13/2024,
168,Champs-Élysées - Paris,75008,8,154,6500,3,5,2,1,07/18/2024,
169,Saint Lazare - Paris,75008,8,101,6200,2,3,2,1,08-03-2024,
170,Champs-Élysées - Paris,75008,8,56,3400,1,2,1,1,01-07-2024,
171,Ternes - Paris,75008,8,25,1460,1,2,0,0,07/18/2024,
172,Arc de Triomphe - Paris,75008,8,25,1500,1,2,4,1,07/18/2024,
173,Champs-Élysées - Paris,75008,8,33,2500,1,2,5,1,08-03-2024,
174,Champs-Élysées - Triangle d'Or - Paris,75008,8,42,2890,1,2,1,1,07/18/2024,
175,Champs-Élysées - Paris,75008,8,36,2280,1,2,4,1,07/18/2024,
176,Miromesnil - Paris,75008,8,58,2849,2,4,5,1,07/18/2024,
177,Champs-Élysées - Triangle d'Or - Paris,75008,8,34,2473,1,2,4,1,08/29/2024,
178,Madeleine - Paris,75008,8,75,5215,2,6,6,1,now,
179,Saint Augustin - Paris,75008,8,50,2634,1,3,2,1,now,
180,Miromesnil - Paris,75008,8,97,5000,3,5,4,1,05/18/2025,
181,Arc de Triomphe - Paris,75008,8,29,1500,1,2,0,0,01-07-2024,
182,Champs-Élysées - Paris,75008,8,20,1400,1,2,6,1,10/14/2024,
