 Price/Rent (Euros) ;Zip code;Arrondissement;Area (m²);Rooms;Bedrooms;Bathroom;Type (Rental/Housing)
1,049,999;75016;16;62;5;2;0;Rental
1,049,999;75007;7;46;5;1;1;Rental
1,049,999;75004;4;65;5;2;2;Rental
1,060,000;75007;7;74;5;2;1;Rental
1,069,999;75017;17;96;5;2;2;Rental
1,079,999;75006;6;62;5;2;1;Rental
1,090,000;75016;16;70;5;1;1;Rental
1,099,999;75004;4;58;5;1;1;Rental
1,099,999;75007;7;56;5;1;1;Rental
1,099,999;75007;7;58;5;2;1;Rental
1,099,999;75004;4;58;5;1;1;Rental
1,099,999;75007;7;56;5;1;1;Rental
1,099,999;75006;6;45;5;1;1;Rental
1,099,999;75017;17;61;5;1;1;Rental
1,099,999;75007;7;58;5;2;1;Rental
1,099,999;75016;16;116;5;3;2;Rental
1,119,999;75006;6;62;5;1;0;Rental
1,124,999;75007;7;74;5;2;1;Rental
1,130,000;75015;15;104;5;3;1;Rental
1,139,999;75016;16;115;5;3;2;Rental
1,144,999;75018;18;81;5;2;1;Rental
1,150,000;75016;16;33;5;1;0;Rental
1,150,000;75012;12;97;5;3;1;Rental
1,150,000;75001;1;82;5;2;2;Rental
1,180,000;75004;4;58;5;2;2;Rental
1,180,000;75004;4;65;5;1;1;Rental
1,180,000;75017;17;109;5;3;2;Rental
1,180,000;75013;13;100;5;3;0;Rental
1,189,999;75004;4;92;5;1;1;Rental
1,189,999;75006;6;35;5;1;1;Rental
1,239,999;75004;4;60;5;2;2;Rental
1,249,000;75016;16;86;5;2;0;Rental
1,250,000;75007;7;74;5;1;1;Rental
1,250,000;75005;5;93;5;3;1;Rental
1,250,000;75016;16;111;5;3;3;Rental
1,259,999;75016;16;84;5;2;2;Rental
1,259,999;75003;3;88;5;2;1;Rental
1,279,999;75016;16;122;5;4;2;Rental
1,295,000;75009;9;97;5;2;2;Rental
1,295,000;75018;18;63;5;2;2;Rental
1,299,999;75009;9;79;5;2;1;Rental
1,299,999;75013;13;78;5;3;1;Rental
1,340,000;75009;9;100;5;3;1;Rental
1,340,000;75016;16;89;5;2;2;Rental
1,349,999;75013;13;95;5;3;2;Rental
1,349,999;75017;17;112;5;3;1;Rental
1,349,999;75003;3;97;5;1;1;Rental
1,349,999;75015;15;80;5;2;1;Rental
1,349,999;75002;2;93;5;2;2;Rental
1,380,000;75016;16;79;5;1;1;Rental
1,380,000;75006;6;72;5;2;1;Rental
1,390,000;75017;17;113;5;3;2;Rental
1,390,000;75004;4;81;5;2;2;Rental
1,390,000;75007;7;90;5;3;1;Rental
1,390,000;75007;7;101;5;3;2;Rental
1,394,999;75004;4;94;5;2;1;Rental
1,394,999;75004;4;83;5;4;2;Rental
1,410,000;75015;15;131;5;4;2;Rental
1,439,999;75016;16;104;5;2;1;Rental
1,450,000;75007;7;92;5;2;1;Rental
1,450,000;75016;16;84;5;3;2;Rental
1,450,000;75009;9;138;5;3;2;Rental
1,460,000;75002;2;74;5;1;1;Rental
1,469,999;75007;7;51;5;1;1;Rental
1,475,000;75008;8;89;5;2;2;Rental
1,475,000;75007;7;62;5;2;2;Rental
1,480,000;75003;3;139;5;3;2;Rental
1,489,999;75016;16;124;5;3;2;Rental
1,495,000;75016;16;103;5;2;0;Rental
1,495,000;75016;16;147;5;3;2;Rental
1,500,000;75007;7;68;5;2;1;Rental
1,500,000;75009;9;150;5;3;2;Rental
1,545,000;75009;9;134;5;3;2;Rental
1,545,000;75007;7;76;5;1;1;Rental
1,550,000;75012;12;103;5;3;2;Rental
1,559,999;75016;16;68;5;2;1;Rental
1,559,999;75006;6;114;5;2;1;Rental
1,570,000;75008;8;95;5;2;1;Rental
1,579,999;75001;1;68;5;1;1;Rental
1,590,000;75008;8;84;5;2;1;Rental
1,590,000;75006;6;60;5;2;1;Rental
1,590,000;75006;6;60;5;2;1;Rental
1,590,000;75016;16;132;5;4;4;Rental
1,590,000;75008;8;84;5;2;1;Rental
1,590,000;75007;7;73;5;1;1;Rental
1,647,999;75006;6;107;5;3;1;Rental
1,649,999;75003;3;89;5;2;2;Rental
1,649,999;75006;6;125;5;3;2;Rental
1,665,000;75016;16;111;5;3;2;Rental
1,669,999;75001;1;91;5;3;2;Rental
1,685,000;75005;5;160;5;4;2;Rental
1,690,000;75015;15;99;5;2;1;Rental
1,694,999;75015;15;119;5;3;2;Rental
1,694,999;75006;6;79;5;2;1;Rental
1,694,999;75017;17;147;5;3;1;Rental
1,698,999;75016;16;143;5;3;0;Rental
1,699,999;75007;7;125;5;3;2;Rental
1,739,999;75016;16;127;5;3;2;Rental
1,750,000;75005;5;118;5;3;0;Rental
1,769,999;75009;9;130;5;3;2;Rental
1,784,999;75016;16;103;5;2;2;Rental
1,784,999;75006;6;104;5;2;1;Rental
1,799,000;75016;16;81;5;2;1;Rental
1,800,000;75005;5;117;5;3;0;Rental
1,800,000;75006;6;112;5;3;2;Rental
1,800,000;75007;7;94;5;3;2;Rental
1,850,000;75017;17;143;5;4;2;Rental
1,869,000;75017;17;180;5;4;2;Rental
1,870,000;75016;16;138;5;4;1;Rental
1,890,000;75001;1;72;5;1;1;Rental
1,899,999;75007;7;81;5;2;1;Rental
1,899,999;75006;6;121;5;4;2;Rental
1,920,000;75018;18;108;5;3;1;Rental
1,924,999;75016;16;162;5;3;2;Rental
1,929,999;75016;16;120;5;2;1;Rental
1,929,999;75016;16;115;5;2;2;Rental
1,949,999;75008;8;64;5;2;2;Rental
1,949,999;75007;7;79;5;1;1;Rental
1,955,000;75006;6;109;5;3;2;Rental
