Price/Rent (Euros),Bathroom,Type (Rental/Housing),Rooms,Bedrooms,Area (m²),Arrondissement,ZipCode
1320000,2,Housing,5,2,109.3,17,75017
265000,1,Housing,1,1,17.63,5,75005
1600000,3,Housing,6,3,143.04,17,75017
1360000,3,Housing,4,3,79.59,6,75006
715000,1,Housing,2,1,36.0,6,75006
1195000,2,Housing,4,2,74.82,3,75003
890000,2,Housing,2,2,38.9,6,75006
1400000,2,Housing,3,2,71.0,16,75016
3480000,4,Housing,6,4,200.0,4,75004
950000,1,Housing,4,1,75.56,15,75015
1562500,3,Housing,6,3,108.22,16,75016
1050000,1,Housing,3,1,63.44,6,75006
1600000,3,Housing,5,3,101.1,15,75015
2850000,3,Housing,3,3,150.0,16,75016
850000,2,Housing,3,2,67.01,17,75017
890000,1,Housing,2,1,39.04,1,75001
495000,0,Housing,2,0,33.91,3,75003
1300000,1,Housing,4,1,114.88,16,75016
1295000,2,Housing,5,2,103.89,16,75016
2800000,6,Housing,7,6,195.15,11,75011
432000,1,Housing,2,1,34.52,17,75017
1370000,3,Housing,4,3,88.1,17,75017
1980000,2,Housing,3,2,76.0,7,75007
39000,0,Housing,4,0,95.0,5,75005
1590000,0,Housing,4,0,117.72,16,75016
900000,2,Housing,3,2,54.3,6,75006
630000,1,Housing,1,1,28.57,14,75014
560000,1,Housing,1,1,40.36,16,75016
1895000,4,Housing,6,4,143.6,17,75017
800000,1,Housing,3,1,61.14,17,75017
895000,2,Housing,3,2,75.03,17,75017
365000,1,Housing,2,1,32.0,11,75011
3500000,2,Housing,7,2,200.7,7,75007
1990000,3,Housing,5,3,106.0,16,75016
2400000,3,Housing,4,3,119.29,6,75006
960000,2,Housing,4,2,73.44,16,75016
1050000,4,Housing,5,4,118.0,16,75016
830000,2,Housing,3,2,59.6,8,75008
1250000,2,Housing,3,2,80.05,16,75016
620000,2,Housing,2,2,51.4,9,75009
450000,1,Housing,2,1,29.66,18,75018
340000,1,Housing,1,1,23.37,4,75004
1680000,4,Housing,6,4,129.24,17,75017
1560000,2,Housing,4,2,114.94,5,75005
770000,2,Housing,3,2,67.72,17,75017
835000,2,Housing,3,2,63.99,14,75014
298000,1,Housing,2,1,17.98,6,75006
1150000,3,Housing,4,3,101.05,16,75016
1050000,2,Housing,3,2,86.62,16,75016
2100000,3,Housing,4,3,92.62,17,75017
1345000,2,Housing,3,2,92.0,7,75007
1098000,2,Housing,3,2,86.35,15,75015
1680000,2,Housing,5,2,130.91,7,75007
1500000,3,Housing,2,3,76.0,6,75006
1975000,4,Housing,4,4,111.85,1,75001
1980000,2,Housing,5,2,127.31,16,75016
1300000,1,Housing,5,1,101.45,4,75004
1150000,2,Housing,3,2,52.06,7,75007
425000,1,Housing,1,1,24.51,6,75006
1600000,2,Housing,3,2,95.55,3,75003
320000,1,Housing,1,1,26.17,9,75009
745000,1,Housing,3,1,48.24,9,75009
2400000,3,Housing,4,3,135.44,14,75014
290000,1,Housing,1,1,17.01,17,75017
618000,2,Housing,3,2,52.06,13,75013
320000,1,Housing,1,1,32.31,11,75011
549000,1,Housing,2,1,35.25,17,75017
440000,1,Housing,1,1,30.39,17,75017
2060000,4,Housing,6,4,156.02,17,75017
2390000,3,Housing,5,3,154.14,16,75016
850000,1,Housing,3,1,85.67,17,75017
995000,2,Housing,4,2,81.56,16,75016
1390000,3,Housing,6,3,113.24,16,75016
3200000,2,Housing,5,2,189.0,7,75007
474000,2,Housing,2,2,40.04,5,75005
1995000,3,Housing,6,3,166.04,17,75017
2545000,2,Housing,5,2,157.23,9,75009
990000,1,Housing,2,1,63.61,6,75006
2750000,3,Housing,5,3,159.52,6,75006
625000,2,Housing,2,2,43.5,16,75016
1950000,3,Housing,5,3,106.0,6,75006
2990000,3,Housing,5,3,171.22,7,75007
2600000,3,Housing,5,3,116.36,4,75004
1550000,3,Housing,6,3,119.23,17,75017
459000,1,Housing,2,1,38.37,16,75016
1420000,2,Housing,3,2,56.35,5,75005
330000,2,Housing,1,2,23.0,17,75017
728000,4,Housing,4,4,72.57,17,75017
1850000,3,Housing,4,3,104.0,7,75007
1660000,3,Housing,4,3,105.42,5,75005
1990000,3,Housing,5,3,117.0,7,75007
1290000,3,Housing,5,3,108.0,16,75016
2990000,5,Housing,6,5,144.93,7,75007
2790000,3,Housing,6,3,195.89,9,75009
2950000,1,Housing,6,1,154.0,16,75016
1860000,4,Housing,5,4,108.79,5,75005
1850000,3,Housing,5,3,116.88,16,75016
1790000,3,Housing,5,3,148.25,16,75016
3000000,5,Housing,7,5,187.5,7,75007
2680000,3,Housing,5,3,141.5,7,75007
910000,1,Housing,3,1,73.08,5,75005
3400000,4,Housing,5,4,131.71,7,75007
2990000,4,Housing,7,4,198.0,16,75016
3495000,5,Housing,6,5,188.29,6,75006
2490000,0,Housing,5,0,160.0,16,75016
1380000,2,Housing,4,2,97.5,15,75015
709000,2,Housing,2,2,50.0,18,75018
3435000,4,Housing,7,4,176.5,16,75016
990000,2,Housing,4,2,90.02,17,75017
650000,2,Housing,3,2,51.47,9,75009
450000,2,Housing,2,2,31.66,5,75005
3400000,3,Housing,5,3,133.64,6,75006
1480000,2,Housing,4,2,100.48,17,75017
2135000,3,Housing,5,3,141.89,16,75016
860000,1,Housing,4,1,91.92,16,75016
530000,0,Housing,2,0,37.19,16,75016
2650000,2,Housing,5,2,148.0,6,75006
2100000,3,Housing,5,3,132.0,7,75007
2600000,3,Housing,6,3,156.63,7,75007
765000,2,Housing,2,2,41.15,16,75016
525000,2,Housing,2,2,32.53,6,75006
660000,1,Housing,2,1,60.58,15,75015
780000,2,Housing,3,2,60.03,18,75018
2900000,2,Housing,3,2,115.0,16,75016
520000,1,Housing,2,1,38.7,9,75009
945000,2,Housing,3,2,54.1,4,75004
550000,1,Housing,2,1,31.0,6,75006
895000,2,Housing,4,2,73.2,15,75015
1820000,3,Housing,4,3,104.72,16,75016
549000,1,Housing,2,1,34.7,5,75005
1400000,4,Housing,5,4,116.87,17,75017
880000,2,Housing,3,2,68.92,8,75008
1365000,2,Housing,5,2,98.0,16,75016
2850000,3,Housing,8,3,208.18,5,75005
1590000,3,Housing,6,3,146.0,15,75015
1395000,4,Housing,4,4,74.0,7,75007
485000,2,Housing,2,2,35.0,4,75004
1500000,2,Housing,4,2,82.2,4,75004
37000,0,Housing,4,0,12.68,6,75006
2650000,3,Housing,5,3,137.53,6,75006
2990000,2,Housing,5,2,221.0,16,75016
1295000,1,Housing,4,1,99.76,15,75015
1230000,3,Housing,4,3,96.0,13,75013
437000,1,Housing,1,1,31.2,5,75005
1040000,2,Housing,4,2,92.65,17,75017
1040000,2,Housing,3,2,63.81,7,75007
1270000,3,Housing,6,3,130.24,13,75013
1415000,3,Housing,4,3,86.45,17,75017
1450000,0,Housing,6,0,121.26,16,75016
660000,2,Housing,2,2,49.02,5,75005
3330000,3,Housing,6,3,214.2,16,75016
1980000,2,Housing,4,2,110.0,15,75015
2195000,4,Housing,5,4,173.0,17,75017
1390000,2,Housing,3,2,59.52,6,75006
1575000,3,Housing,5,3,125.0,16,75016
1650000,2,Housing,4,2,85.0,16,75016
1590000,2,Housing,4,2,107.48,5,75005
1890000,2,Housing,5,2,105.96,5,75005
1040000,2,Housing,3,2,69.73,17,75017
960000,3,Housing,5,3,84.0,13,75013
1320000,2,Housing,4,2,89.42,8,75008
450000,1,Housing,2,1,38.27,17,75017
1950000,2,Housing,5,2,144.21,4,75004
1950000,2,Housing,5,2,149.0,7,75007
2400000,2,Housing,6,2,132.98,6,75006
200000,0,Housing,1,0,15.51,9,75009
1250000,2,Housing,1,2,45.0,8,75008
780000,1,Housing,2,1,49.0,5,75005
300000,1,Housing,4,1,24.17,7,75007
1060000,2,Housing,4,2,81.3,17,75017
2090000,3,Housing,7,3,184.14,9,75009
1060000,1,Housing,4,1,91.92,16,75016
495000,2,Housing,2,2,47.46,17,75017
598000,2,Housing,2,2,47.0,3,75003
662000,2,Housing,2,2,56.5,13,75013
995000,2,Housing,4,2,91.01,9,75009
399000,2,Housing,1,2,26.6,4,75004
2290000,3,Housing,6,3,146.1,8,75008
1595000,2,Housing,4,2,87.5,7,75007
2675000,4,Housing,4,4,108.56,7,75007
550000,2,Housing,2,2,53.5,18,75018
329000,1,Housing,2,1,37.52,17,75017
2700000,4,Housing,5,4,140.36,8,75008
3100000,2,Housing,5,2,120.0,16,75016
3555000,4,Housing,7,4,212.2,8,75008
3150000,3,Housing,5,3,180.11,6,75006
285000,1,Housing,1,1,21.9,5,75005
1090000,2,Housing,4,2,81.11,17,75017
1207500,2,Housing,4,2,85.49,13,75013
1895000,0,Housing,6,0,150.01,16,75016
570000,2,Housing,2,2,35.29,8,75008
244000,0,Housing,1,0,25.6,6,75006
495000,2,Housing,2,2,44.85,16,75016
950560,2,Housing,3,2,59.8,5,75005
2250000,3,Housing,5,3,135.0,16,75016
1200000,1,Housing,2,1,66.0,5,75005
1295000,3,Housing,3,3,79.0,5,75005
820000,1,Housing,2,1,53.0,5,75005
590000,1,Housing,2,1,41.18,17,75017
3285000,3,Housing,6,3,168.0,7,75007
695000,1,Housing,2,1,48.04,17,75017
3100000,3,Housing,7,3,222.81,8,75008
550000,2,Housing,2,2,42.04,5,75005
895000,3,Housing,4,3,84.06,16,75016
1550000,2,Housing,3,2,103.18,3,75003
1450000,3,Housing,5,3,92.56,6,75006
1990000,4,Housing,4,4,114.03,1,75001
290000,1,Housing,1,1,14.15,6,75006
2450000,6,Housing,6,6,182.65,3,75003
2395000,2,Housing,5,2,136.0,7,75007
2925000,3,Housing,6,3,232.67,16,75016
1350000,4,Housing,6,4,149.17,13,75013
1780000,3,Housing,7,3,164.12,15,75015
2295000,3,Housing,6,3,169.12,9,75009
335000,1,Housing,1,1,19.71,7,75007
650000,1,Housing,1,1,41.0,7,75007
1600000,3,Housing,4,3,103.04,4,75004
1090000,3,Housing,4,3,94.66,14,75014
2184000,4,Housing,5,4,155.0,16,75016
2600000,3,Housing,8,3,134.15,6,75006
1105000,2,Housing,4,2,72.5,1,75001
70000,2,Housing,4,2,95.0,16,75016
1890000,1,Housing,5,1,116.14,16,75016
686000,2,Housing,3,2,59.12,9,75009
2670000,3,Housing,8,3,239.26,6,75006
985000,2,Housing,3,2,75.72,,
375000,1,Housing,2,1,31.21,17,75017
1295000,3,Housing,3,3,91.7,8,75008
450000,1,Housing,1,1,24.05,6,75006
870000,2,Housing,3,2,67.9,15,75015
2100000,4,Housing,6,4,146.23,7,75007
895000,4,Housing,4,4,75.82,16,75016
1420000,2,Housing,5,2,116.23,16,75016
1890000,3,Housing,5,3,104.08,7,75007
1238575,4,Housing,2,4,88.0,6,75006
420000,1,Housing,1,1,25.25,6,75006
1385000,2,Housing,3,2,70.0,7,75007
1295000,3,Housing,5,3,107.0,17,75017
3350000,5,Housing,7,5,270.0,17,75017
1595000,2,Housing,4,2,112.79,17,75017
690000,1,Housing,2,1,33.01,7,75007
1490000,3,Housing,6,3,105.38,9,75009
2790000,4,Housing,6,4,206.0,16,75016
950000,2,Housing,2,2,52.0,6,75006
695000,2,Housing,2,2,35.0,6,75006
3350000,5,Housing,6,5,200.0,7,75007
695000,2,Housing,2,2,41.0,16,75016
1150000,2,Housing,4,2,82.27,5,75005
2500000,3,Housing,5,3,131.73,5,75005
725000,1,Housing,3,1,54.58,17,75017
2390000,2,Housing,5,2,140.04,1,75001
985000,1,Housing,3,1,67.12,5,75005
1500000,3,Housing,4,3,120.0,14,75014
1350000,3,Housing,4,3,94.3,16,75016
530000,2,Housing,2,2,38.25,5,75005
660000,2,Housing,3,2,60.62,16,75016
1580000,3,Housing,5,3,124.84,15,75015
1490000,2,Housing,3,2,85.71,6,75006
1095000,2,Housing,5,2,106.9,16,75016
820000,2,Housing,3,2,79.26,15,75015
1070000,2,Housing,3,2,78.71,14,75014
2690000,3,Housing,5,3,139.13,7,75007
2650000,3,Housing,5,3,163.7,7,75007
2257500,2,Housing,3,2,98.8,17,75017
2556000,3,Housing,5,3,135.28,6,75006
