"Address","Price","Area","Floor","Property_Type","Bed","Rooms","Num_people","Link"
"Rue Troyon, 75017, Paris",2000,25,4,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/id394-arc-de-triomphe-rue-troyon/65a6966abf9649d7eb5da4ac?from=2025-12-31&dataLayerKey=eT3g5eWC6FBBwxi3xqNY3"
"Rue Léon Jost, 75017, Paris",2556,32,1,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/flat-located-in-great-area/65c243664aac09742b8147cd?from=2025-12-31&dataLayerKey=eT3g5eWC6FBBwxi3xqNY3"
"Rue des Vignoles, 75020, Paris",2470,33,2,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/stunning-1-bedroom-apartment-of-33m2-located-in-the-20th-arrondissement-of-paris/644653d83f1901c8b4a2e88d?from=2025-12-31&dataLayerKey=eT3g5eWC6FBBwxi3xqNY3"
"Boulevard Pereire, 75017, Paris",2778,45,7,"Apartment",1,2,3,"https://wunderflats.com/en/furnished-apartment/stylish-one-bedroom-apartment-in-the-heart-of-paris/6617a4238cdfedfa92658532?from=2025-12-31&dataLayerKey=eT3g5eWC6FBBwxi3xqNY3"
"Rue Rodier, 75009, Paris",2916,42,3,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/apartment-2-rooms-42m-martyrs-saint-georges/63c66caa43ef9d9a7904de76?from=2025-12-31&dataLayerKey=eT3g5eWC6FBBwxi3xqNY3"
"Avenue de Saxe, 75007, Paris",1667,11,1,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-11m2-studio-located-10-minutes-walk-from-les-invalides/6530fd187d2bc10f0107ec64?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Cité Bergère, 75009, Paris",2222,24,0,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-near-the-grands-boulevards-9th-arrondissement/656751370d118ceea11d0e5e?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue de Ponthieu, 75008, Paris",4361,75,3,"Apartment",2,3,3,"https://wunderflats.com/en/furnished-apartment/furnished-flat-3-rooms-75m-champs-elysees/63c134cdac8791f4e9b25303?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Crillon, 75004, Paris",3308,63,6,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/modern-and-amazing-apartment-conveniently-located/655b644efa679ca729974537?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Passage Ruelle, 75018, Paris",1834,22,3,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/cosy-and-bright-studio-lariboisiere/63d10cb7c99c2695de0ab12c?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Tiquetonne, 75002, Paris",1701,30,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/well-equipped-and-functional-studio-apartment/63c12a5730c8054dd7c2158e?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue de Port-Mahon, 75002, Paris",3138,55,6,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/rental-furnished-apartment-2-rooms-55m-opera/63c00f1b2580326cc99bdfc4?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Avenue Anatole France, 94220, Charenton-le-Pont",4222,70,3,"Apartment",3,4,6,"https://wunderflats.com/en/furnished-apartment/spacious-apartment-in-the-heart-of-the-city-comfortable-accommodation-for-6-people/660eaccbab42cdccc2b04fce?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Gérando, 75009, Paris",1429,14,2,"Apartment",3,1,1,"https://wunderflats.com/en/furnished-apartment/central-paris-studio-in-the-9th/66a39e9f5383393fdaf39abd?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue du Mont Thabor, 75001, Paris",1075,19,6,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/charming-rooftop-studio/64ee1676dd7fcaeb770bdbeb?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Volta, 75003, Paris",2077,26,2,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/studio-26m-arts-et-metiers-beaubourg/63c136bcf28f74b00490c98d?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Cler, 75007, Paris",4788,60,2,"Apartment",3,3,2,"https://wunderflats.com/en/furnished-apartment/gorgeous-2-bedrooms-near-champ-de-mars/638dcd08f8588a62c886a2a5?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue de Tocqueville, 75017, Paris",2000,35,0,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/chic-parisian-retreat-modern-studio-in-the-heart-of-the-17th-arrondissement/65673e6a55e11c24a0852d7d?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Saint-Sauveur, 75002, Paris",3700,67,2,"Apartment",3,2,4,"https://wunderflats.com/en/furnished-apartment/id-397-entire-2-bedroom-apartment-in-rue-saint-sauveur-montorgueil-2nd-arrondissement/65b3e1daba9ef5d41b70b4be?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue d'Alsace, 92300, Levallois-Perret",922,10,9,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-10m-bedroom/65e1dcc591cf273c0f5d5aea?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue de Valenciennes, 75010, Paris",3432,59,4,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/cosy-and-warm-flat-in-the-heart-of-paris-in-the-10th-arrondissement/63c7b964a5612ed9d82058aa?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue des Archives, 75004, Paris",3333,34,4,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/cosy-renovated-1bdr-on-rue-des-archives-marais/63ce84bceb195439b206cd61?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Avenue de la Bourdonnais, 75007, Paris",2321,32,4,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/apartment-2-rooms-32m-champ-de-mars/63c527ea402713e79b02f0a7?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue de Sèvres, 75006, Paris",3922,40,2,"Apartment",2,3,6,"https://wunderflats.com/en/furnished-apartment/beautiful-apt-near-the-bon-marche/6494123badb4d06f7f20be79?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Michel Peter, 75013, Paris",2700,50,4,"Apartment",3,3,4,"https://wunderflats.com/en/furnished-apartment/michel-peter-entire-big-furnished-apartment-with-2-bedrooms/65f072de4bc795483003dfa7?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue du Docteur Heulin, 75017, Paris",3140,66,5,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/stunning-apartment-with-balcony-near-batignolles-pere-lachaise-and-sacre-coeur/643cfa89a2ae7b9f77550868?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Boulevard Victor Hugo, 93400, Saint-Ouen-sur-Seine",2746,48,6,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/cosy-apartment-saint-ouen/65ba6ce0b8e1c41233330e2f?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Cesária Évora, 75019, Paris",1056,17,2,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-sophisticated-17-m-bedroom/65c4b56e6c14283b88618c17?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue du Général Roguet, 92110, Clichy",1595,33,3,"Apartment",2,1,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-in-clichy/661e2ba5a86032a3f7b802c9?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Manin, 75019, Paris",2550,45,0,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/modern-and-fantastic-apartment-close-to-city-center/661e67bcfb8bc59bea512f33?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Square Rapp, 75007, Paris",1444,18,5,"Apartment",1,1,5,"https://wunderflats.com/en/furnished-apartment/beautiful-furnished-room-close-to-the-eiffel-tower/65e9d895ced7fc21b01a32f9?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Saint-Paul, 75004, Paris",2449,35,2,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/rental-furnished-appartment-2-rooms-35m-marais-bastille-75004/63c17a9cb2a35180da5f2075?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Boulevard Victor Hugo, 93400, Saint-Ouen-sur-Seine",1550,35,3,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/bright-and-beautiful-suite-in-excellent-location/6686dec12b08c3def56696b1?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Villa Stendhal, 75020, Paris",2300,45,2,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/charming-apartment-in-central-paris/65b7869717f29eac2f0fc3ac?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Boulevard Macdonald, 75019, Paris",1033,10,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-cosy-10-m-room/65c50054fca1e03957bb0663?from=2025-12-31&dataLayerKey=cZ5CbM0gvCOPOsb_MNTsG"
"Rue Jean Ferrandi, 75006, Paris",3850,52,4,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/comfy-flat-in-the-6th-arrondissement/63c52101402713e79b02cb24?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Mozart, 92110, Clichy",844,10,1,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-apartment/65ddfd841beed0ec1d9d748a?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue de Lagny, 75020, Paris",967,13,2,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-13-m-room-is-fully-furnished/65b3c410ea5084abc95cf159?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Mozart, 92110, Clichy",922,13,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-flat/65ddb9fa1beed0ec1d9bb009?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Avenue George V, 75008, Paris",4740,65,7,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/amazing-and-fantastic-flat-paris/638e0fd61991b97387f5758e?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue de Poitou, 75003, Paris",2937,28,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-1-room-apartment-marais/65562b46923ee76c8aa89a70?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue de la Convention, 75015, Paris",2394,30,8,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/studio-30m-portes-de-versailles-javel-convention/63c675200a83251c3f1f8a38?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Boulevard Pasteur, 75015, Paris",2792,45,5,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/lovely-2-room-furnished-apartment-45m/65561a30923ee76c8aa84ff6?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Sainte-Foy, 75002, Paris",2809,36,1,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/tastefully-decorated-flat-in-the-heart-of-the-2nd-arrondissement/655c71d624cd93433fed241d?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Montmartre, 75002, Paris",3399,38,1,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/elegant-38m2-apartment-with-refined-design-in-the-sought-after-montorgueil-neighborhood/6439589c125dc31c4737088d?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Montcalm, 75018, Paris",2833,40,3,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/functional-and-perfectly-optimized-charming-1-bedroom-apartment-in-the-18th-arrondissement/65c241bb4aac09742b813bac?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Manin, 75019, Paris",3267,62,2,"Apartment",3,3,4,"https://wunderflats.com/en/furnished-apartment/awesome-and-fashionable-suite-close-to-buttes-chaumont/64e5b3c1b819e64a75bf5881?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Hérold, 75001, Paris",1537,20,2,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/tranquil-studio-in-the-heart-of-paris-between-palais-royal-and-chatelet/6555f26b9fec5726d9090fe4?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue de Grenelle, 75007, Paris",1300,11,6,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/luxury-studio-in-the-heart-of-paris/65588657275413aacb5ff486?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Marius Sidobre, 94110, Arcueil",1450,70,1,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/beautiful-spacious-flat-in-arcueil/6687dc5e285bc72cfe31afa4?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Rollin, 75005, Paris",2778,45,1,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/living-in-the-heart-of-the-latin-quarter-historical-and-cultural-charm-in-paris/6617a2648cdfedfa92657e35?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Vergniaud, 75013, Paris",2889,61,2,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/charming-parisian-apartment-in-the-heart-of-the-13th-arrondissement-ideal-comfort-and-location/6565f59ac120f67033a05635?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Boulevard Saint-Michel, 75005, Paris",3466,60,4,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/a-room-in-front-of-the-luxembourg-garden/634442285fe1fa9ac49ba3c3?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Louise-Émilie de la Tour d'Auvergne, 75009, Paris",2702,34,2,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/apartment-2-rooms-34m-opera-75009-paris/63c56af1207454cf33f7712d?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Daval, 75011, Paris",1600,25,3,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/brand-new-central-studio/65ee11ed7e1f8131a567d025?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Saint-Paul, 75004, Paris",2630,45,5,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/rental-furnished-appartment-2-rooms-45m-ile-de-la-cite-ile-saint-louis-75004/63c17d36b2a35180da5f2cfe?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue Daniel, 92600, Asnières-sur-Seine",2300,59,1,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/id-406-two-bedrooms-apartment-danielasnieres-sur-seine/65c7609f41021c338f91f6a6?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue du Docteur Paquelin, 75020, Paris",1078,15,2,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-large-15m-bedroom/65b23e1be9424fdbcce9844e?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Passage de la Main d'Or, 75011, Paris",3333,65,3,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/charming-parisian-apartment-in-the-heart-of-the-trendy-11th-arrondissement/6610037139dee026b3184b61?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Avenue du Maine, 75015, Paris",2174,30,0,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/apartment-2-rooms-30-sqm-montparnasse/63c6a8dc43ef9d9a7905e180?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue du Pont de Lodi, 75006, Paris",3889,50,1,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/modern-city-escape-stylish-1-bedroom-apartment-for-4/66685f25b9ae03303e0bdc00?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Boulevard de Ménilmontant, 75011, Paris",1778,20,3,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-in-the-heart-of-vibrant-paris/6617a7158cdfedfa9265993c?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Passage de Abbesses, 75018, Paris",2067,27,2,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/apartment-in-a-quiet-area-near-the-place-des-abbesses/63452b1908ef9c975335e359?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue de Rennes, 75006, Paris",5988,85,4,"Apartment",4,3,3,"https://wunderflats.com/en/furnished-apartment/saint-germain-des-pres-rennes-i/638f53d9972c8acfa162bff5?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Avenue de Flandre, 75019, Paris",2750,52,4,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/superb-accommodation-on-avenue-de-flandre-in-a-modern-building-perfect-for-students-or-professionals/63c67ab96b4544f3ecac1fe8?from=2025-12-31&dataLayerKey=QmI29VvW-fZNtxnX6Dcxz"
"Rue du Bailly, 93210, Saint-Denis",878,23,2,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-large-23-m-master-bedroom-with-a-bohemian-chic-feel/65eb23a45a87890a5d457d24?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue de l'Arbalète, 75005, Paris",2811,60,1,"Apartment",3,3,4,"https://wunderflats.com/en/furnished-apartment/charming-two-bedrooms-close-to-the-pantheon/63bed0a8f465c62d045f0447?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Allée Jules Cusinberche, 92110, Clichy",944,12,2,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-12m-bedroom/65dc93c1288d3115f93bcd41?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Pierre Leroux, 75007, Paris",2000,25,0,"Apartment",1,1,4,"https://wunderflats.com/en/furnished-apartment/id-408-charming-and-cozy-apt-in-the-7th/65cc9f9e08c23c6e0c2ea6e1?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Lebouteux, 75017, Paris",1260,35,1,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/charming-bright-2-room-apartment-batignolles/662bdfccce3f7b2ac491ef72?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue du Faubourg Saint-Martin, 75010, Paris",1600,32,2,"Apartment",NA,2,2,"https://wunderflats.com/en/furnished-apartment/quiet-and-comfy-1-bedroom-flat-near-canal-saint-martin/6698cbc955993ea60348291f?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue du Lunain, 75014, Paris",4000,80,3,"Apartment",2,3,3,"https://wunderflats.com/en/furnished-apartment/superb-80m2-flat-in-the-14-arrondissement-of-paris/65c0afbbe70057fd99530ef9?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Cesária Évora, 75019, Paris",944,11,1,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-11-m-room/65ce4bc00c6616400d36fe4c?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Paul Dupont, 92110, Clichy",3206,70,6,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/clichy-spacious-apartment-with-a-charming-balcony/64c0d57730ade135a6f6952a?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue de la Comète, 75007, Paris",2204,48,2,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/one-bedroom-apartment-close-to-the-invalides/6347fbfd3546a73bfe16af8c?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Montmartre, 75002, Paris",2686,47,2,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/beautiful-fully-furnished-apartment-carefully-decorated/655c8db2936edc4d14a81c3a?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue de Vaugirard, 75015, Paris",2689,54,5,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/54-m-fully-renovated-apartment-in-the-necker-district-15th-arrondissement-of-paris/668e70749b11cea2711cc0d6?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Greneta, 75002, Paris",2306,36,2,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/studio-36m-montorgueil/63bfe40af5f8e1fb01b87940?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue de Meaux, 75019, Paris",2500,48,2,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/buttes-chaumont-bright-and-lovely-1-br-apartment/647717bd7f8515971fffb0c0?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Quai de la Tournelle, 75005, Paris",3204,75,5,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/rental-furnished-flat-3-rooms-75m-paris/63c155abac8791f4e9b2f776?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue de Clignancourt, 75018, Paris",1078,22,2,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-very-large-22m-bedroom/65b27f9f4c94831f0e847022?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue de Thionville, 75019, Paris",1367,15,3,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/cosy-studio-view-on-the-canal-de-lourcq/63cacec9370f3b64763a5a15?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Boulevard Marguerite de Rochechouart, 75018, Paris",2333,37,2,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/lovely-one-bedroom-sacre-coeur/65a68963c42dd250a4cc3be4?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Boulevard Marguerite de Rochechouart, 75018, Paris",2333,37,2,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/love-flat-very-well-organized-near-sacre-coeur/65c23bbe4aac09742b810714?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue du Faubourg du Temple, 75011, Paris",2667,41,2,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/lovely-one-bedroom-apartment-located-in-the-11th-arrondissement-between-belleville-and-republique/65425498406cc30eca26f8e7?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Quincampoix, 75003, Paris",3398,40,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/newly-refurbished-cosy-and-atypical-flat-quiet-and-bright-with-a-beautiful-french-window-over-the-entire-height-of-the-room/63c552faf808cbac2d32a977?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Mozart, 92110, Clichy",944,14,4,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-apartment/65ddc1091beed0ec1d9be8a8?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue de Sèvres, 75006, Paris",4453,55,4,"Apartment",3,3,4,"https://wunderflats.com/en/furnished-apartment/rental-furnished-flat-3-rooms-55m-quartier-latin/63c16180ac8791f4e9b326ec?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue d'Amsterdam, 75009, Paris",4444,76,4,"Apartment",1,2,4,"https://wunderflats.com/en/furnished-apartment/exceptional-apartment-in-montmartre-or-elegance-and-charm-in-a-haussmannian-building/64be4533d02a8a95c3f2234a?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue de Sèvres, 75006, Paris",3922,40,2,"Apartment",3,3,6,"https://wunderflats.com/en/furnished-apartment/6th-arrondissement-gorgeous-apartment-near-the-bon-marche/649419cf1fcb8bcfa10f902d?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue des Saules, 75018, Paris",2458,42,1,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/apartment-2-rooms-42-sqm-montmartre-pigalle/63c6888943ef9d9a79054d5e?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Avenue de Wagram, 75017, Paris",2333,40,1,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/beautiful-flat-in-the-17th-arrondissement-of-paris-avenue-de-wagram-near-the-arc-de-triomphe/63c674fb6b4544f3ecac044f?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Marcadet, 75018, Paris",2400,42,3,"Apartment",3,3,4,"https://wunderflats.com/en/furnished-apartment/charming-2-bedroom-furnished-apartment-near-montmartre/65f81921c8fade02d88ad380?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue Pétion, 75011, Paris",1122,11,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-11m-room-fully-furnished/65bbbe28a5cd10f1e1e036bb?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue du Faubourg Saint-Denis, 75010, Paris",4667,66,0,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/modern-comfort-with-garden-retreat/66686a75b9ae03303e0c36a0?from=2025-12-31&dataLayerKey=qxt0n8o2TZ0lShi7ejr41"
"Rue du Faubourg Saint-Martin, 75010, Paris",1778,27,1,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/modern-studio-near-gare-de-lest-fully-equipped-kitchen-fast-internet-and-convenient-location/64418b22ebb4ab82b38c41e4?from=2025-12-31&dataLayerKey=wexIM-EllFcxIllABvlnf"
"Rue de Montmorency, 75003, Paris",5064,70,5,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/charming-three-room-apartment-in-the-heart-of-beaubourg-and-le-marais/6555f4b29fec5726d90918ea?from=2025-12-31&dataLayerKey=wexIM-EllFcxIllABvlnf"
"Rue Cassette, 75006, Paris",4822,80,6,"Apartment",4,3,5,"https://wunderflats.com/en/furnished-apartment/3-bedroom-in-the-heart-of-st-germain-des-pres/6347e4a5760c9f89298fbdfa?from=2025-12-31&dataLayerKey=wexIM-EllFcxIllABvlnf"
