"Address","Price","Area","Floor","Property_Type","Bed","Rooms","Num_people","Link"
"Square Adanson, 75005, Paris",1556,10,0,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/g/private-room-in-a-charming-shared-apartment-near-metro-and-jardin-des-plantes/dqA5hMpHolvsMgoB-giQT?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Avenue Duquesne, 75007, Paris",5830,111,1,"Apartment",3,4,5,"https://wunderflats.com/en/furnished-apartment/charming-and-nice-home-in-invalides/662a7a68125d9ba79253e267?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Jean Mermoz, 75008, Paris",2722,35,5,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/new-one-bedroom-apartment-in-a-parisian-building-in-the-heart-of-the-8th-arrondissement-of-paris/63c5639f207454cf33f7421a?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Avenue de Saxe, 75007, Paris",4092,65,2,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/lovely-fantastic-suite-in-nice-area/65b27d3f9b0d4cef05db10b9?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Saint-Honoré, 75001, Paris",2809,43,1,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/rental-furnished-appartment-2-rooms-43m-louvre-palais-royal/63c005a92580326cc99bac79?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue des Jeuneurs, 75002, Paris",3954,65,3,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/rental-furnished-appartment-2-rooms-65m/63c01ee82580326cc99c3c83?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue du Bac, 75007, Paris",2800,30,5,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/lovely-apt-in-heart-of-paris-10min-walk-to-louvre/668b1b4930e0da0c69b9d07b?from=2025-12-31&dataLayerKey=RyoRuI2BrVJ_W39WcC3dP"
"Rue Clapeyron, 75008, Paris",2650,50,0,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/awesome-suite-conveniently-located/65fb0181488ca1c87fa73575?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Barbette, 75003, Paris",1754,23,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/furnished-flat-1-room-dans-le-marais/655b3cdbd862c6eaed557d23?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Saint-Sulpice, 75006, Paris",1220,15,2,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-quartier-odeon-for-2-people/63c825bced9320d43ba786ef?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Saint-Maur, 75011, Paris",2600,73,1,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/spacious-parisian-flat-at-the-heart-of-trendy-paris/63ea3d8118a61d71f5db7587?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Beautreillis, 75004, Paris",2086,25,2,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/rental-furnished-appartment-1-bed-25m-bastille-faubourg-st-antoine-75004/63c17044b2a35180da5ef020?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue du Temple, 75003, Paris",2333,25,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/peaceful-apartment-in-the-heart-of-paris/6540de8434c4f6ea2550e280?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue des Bles, 93210, Saint-Denis",1378,41,1,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/fantastic-loft-with-nice-city-view-saint-denis/66996b05e9b9073cc2cc80be?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue de la Cour des Noues, 75020, Paris",1700,38,8,"Apartment",2,2,2,"https://wunderflats.com/en/furnished-apartment/cozy-and-bright-apartment-gambetta-pere-lachaise-district/6677019fd4a72805602afcf0?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Debelleyme, 75003, Paris",2333,26,3,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/charming-flat-in-le-marais/65ba5d55b8e1c41233329667?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue d'Aubervilliers, 75018, Paris",1333,13,7,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-of-13m-on-the-7th-floor-near-montmartre-and-the-goutte-dor/644113aa8ab4ff90df567365?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Boulevard Richard-Lenoir, 75011, Paris",5400,113,6,"Apartment",3,5,4,"https://wunderflats.com/en/furnished-apartment/nice-and-cozy-113m2-apartment-with-a-view-close-to-park/666abf6dca0331f58e80b428?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Saint-Antoine, 75004, Paris",1530,12,1,"Apartment",2,1,2,"https://wunderflats.com/en/furnished-apartment/awesome-home-conveniently-located/66afa3b7d528d22f49d463b4?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
