Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Energy,GHG,Elevator,Available_date,Description
Montmartre - Sacré Coeur - Paris,75018,18,40,1949,1,2,1,NA,NA,0,07/18/2024,"This beautiful and well located 40 square meters , 1 Bedroom, apartment is located on rue Yvonne le Tac in the 18th arrondissement, on the 1 st French floor building and it sleeps 2 people. This apartment is equipped with : dishwasher, TV, The apartment has a separate laundry equiped with : Combo Washer-Dryer, storage. 50m from the metro Abbesses and the abbesses street with plenty of luxury shops."
Anvers - Paris,75009,9,53,2351,1,2,3,265,8,0,07/18/2024,"This spacious and comfortable 53 square meters , 1 Bedroom, apartment is located on rue de Rochechouart in the 9th arrondissement, on the 3 rd French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace, and free use of a large landscaped garden with trees and a large garden table."
La Chapelle - Paris,75018,18,36,1449,1,2,5,80,16,1,now,"This beautiful and bright 36 square meters , Studio, apartment is located on rue Philippe de Girard in the 18th arrondissement, on the 5 th French floor building and it sleeps 2 people. This apartment is equipped with : washer, TV, terrace."
Le Marais - Paris,75004,4,40,1900,1,2,1,NA,NA,0,07/18/2024,"This charming and tastefully decorated 40 square meters , 1 Bedroom, apartment is located on rue Quincampoix in the 4th arrondissement, on the 1 st French floor of a 18th century building and it sleeps 2 people. This apartment is equipped with : washer, unlimited high speed internet access with the wifi, decorative fireplace."
Boulogne Billancourt,92100,92,40,1700,1,2,4,NA,NA,1,07/18/2024,"This charming and charming 40 square meters , 1 Bedroom, apartment is located on Rue du Dôme in Boulogne Billancourt, on the 4 th French floor building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, unlimited high speed internet access with the wifi, balcony."
Montmartre - Sacré Coeur - Paris,75018,18,41,1900,1,2,4,285,9,1,07/18/2024,"This bright and well located 41 square meters , 1 Bedroom, apartment is located on rue Duhesme in the 18th arrondissement, on the 4 th French floor building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, cable, TV, unlimited high speed internet access with the wifi."
Exelmans - Paris,75016,16,49,1800,1,2,1,NA,NA,0,now,"This elegant and comfortable 49 square meters , 1 Bedroom, apartment is located on boulevard Exelmans in the 16th arrondissement, on the 1 st French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace. The furniture comes from the Georges V Palace in Paris."
Pereire - Paris,75017,17,29,1490,1,2,9,229,62,1,07/18/2024,"This comfortable and luminous 29 square meters , Studio, apartment is located on avenue des Chasseurs in the 17th arrondissement, on the 9 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, A/C, dishwasher, cable, TV, unlimited high speed internet access with the wifi, balcony with an open view of The Eiffel Tower and The Sacré Coeur, electric shutters."
Batignolles - Paris,75017,17,51,2460,2,4,2,187,5,0,07/18/2024,"This tastefully decorated and comfortable 51 square meters , 2 Bedrooms, apartment is located on rue Nollet in the 17th arrondissement, on the 2 nd French floor of a 19th century walk up building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access with the wifi."
Champs de Mars - Tour Eiffel - Paris,75007,7,25,1700,1,2,1,397,12,1,07/18/2024,"This bright and well located 25 square meters , Alcove Studio, apartment is located on rue de Monttessuy in the 7th arrondissement, on the 1 st French floor building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access with the wifi."
Champs-Élysées - Paris,75008,8,154,6500,3,5,2,NA,NA,1,07/18/2024,"This elegant and spacious 154 square meters , 3 Bedrooms, apartment is located on rue du Commandant Riviere in the 8th arrondissement, on the 2 nd French floor of a 19th century building and it sleeps 5 people. This apartment is equipped with : Combo Washer-Dryer, A/C, washer, dryer, dishwasher, TV, balcony, printer, cable, unlimited high speed internet access with the wifi."
Jardin du Luxembourg - Paris,75006,6,60,2249,1,2,3,NA,NA,0,now,"This charming and well located 60 square meters , 1 Bedroom, apartment is located on rue d Assas in the 6th arrondissement, on the 3 rd French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Champs de Mars - Tour Eiffel - Paris,75016,16,37,2151,1,2,5,NA,NA,1,07/18/2024,"This charming and comfortable 37 square meters , 1 Bedroom, apartment is located on avenue Pierre 1er de Serbie in the 16th arrondissement, on the 5 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access with the wifi."
Parc Monceau - Paris,75008,8,25,1400,1,2,0,368,12,NA,now,"This , Studio, apartment is located on rue Treilhard in the 8th arrondissement, on the ground floor building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access with the wifi. There is a laundry behind the rue Treilhard, at the 17 rue de Lisbonne, 2 minutes by feet."
Miromesnil - Paris,75008,8,30,2400,2,2,0,244,7,NA,07/18/2024,"This charming and tastefully decorated 30 square meters , 2 Bedrooms, apartment is located on rue d Artois in the 8th arrondissement, on the ground floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dryer, cable, TV, unlimited high speed internet access with the wifi."
Champs-Élysées - Paris,75008,8,93,4000,1,2,4,270,59,1,08/01/2024,"This very well situated and spacious 93 square meters , 1 Bedroom and an office, apartment is located on Rue du Faubourg Saint-Honoré in the 8th arrondissement, on the 4 th French floor of a 19th century building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace, air purifier."
Arc de Triomphe - Paris,75008,8,14,1190,1,1,8,254,22,1,08/13/2024,"This charming and comfortable 14 square meters , Studio, apartment is located on rue Beaujon in the 8th arrondissement, on the 8 th French floor of a 19th century building and it sleeps 1 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access with the wifi, A/C."
Champs-Élysées - Paris,75008,8,154,6500,3,5,2,NA,NA,1,07/18/2024,"This elegant and spacious 154 square meters , 3 Bedrooms, apartment is located on rue du Commandant Riviere in the 8th arrondissement, on the 2 nd French floor of a 19th century building and it sleeps 5 people. This apartment is equipped with : Combo Washer-Dryer, A/C, washer, dryer, dishwasher, TV, balcony, printer, cable, unlimited high speed internet access with the wifi."
Saint Lazare - Paris,75008,8,101,6200,2,3,2,NA,NA,1,08/03/2024,"This elegant and spacious 101 square meters , 2 Bedrooms, apartment is located on rue de Rome in the 8th arrondissement, on Noble floor of an Haussmann building and it sleeps 3 people. This apartment is equipped with : A/C, washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, printer, balcony."
Champs-Élysées - Paris,75008,8,56,3400,1,2,1,227,39,1,01/07/2024,"This stylish apartment featuring design furniture is located in rue de Bassano in the upper left edge of Triangle-d'Or, next to the famous Louis Vuitton flagship store. On the 1st floor of a very well preserved Haussmannien building with concierge, balancing its original French architecture with a modern interior. The apartment has one bedroom with a lange double bed, a living area furnished with B&B, Kartell and Panton chairs as well as a fully equipped Miele designed kitchen with a Nespresso Vertuo machine."
Ternes - Paris,75008,8,25,1460,1,2,0,NA,NA,NA,07/18/2024,"This cozy and very well situated 25 square meters, Studio, apartment is located on avenue Beaucour in the 8th arrondissement of Paris, on the ground floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, TV."
Arc de Triomphe - Paris,75008,8,25,1500,1,2,4,280,59,1,07/18/2024,"This charming and bright 25 square meters , Studio, apartment is located on avenue de Friedland in the 8th arrondissement, on the 4 th French floor building and it sleeps 2 people. This apartment is equipped with : washer, unlimited high speed internet access with the wifi, terrace."
Champs-Élysées - Paris,75008,8,33,2500,1,2,5,309,55,1,08/03/2024,"This tastefully decorated and very well situated 33 square meters , Alcove Studio, apartment is located on rue de Ponthieu in the 8th arrondissement, on the 5 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, removable air conditioner, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Champs-Élysées - Triangle d'Or - Paris,75008,8,42,2890,1,2,1,NA,NA,1,07/18/2024,"This very well situated and comfortable 42 square meters , 1 Bedroom, apartment is located on rue de La Tremoille in the 8th arrondissement, on the 1 st French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : Combo Washer-Dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Champs-Élysées - Paris,75008,8,36,2280,1,2,4,NA,NA,1,07/18/2024,"This delightful and charming 35 square meters , Studio, apartment is located on avenue des Champs elysees in the 8th arrondissement, on the 4 th French floor of a 18th century building and it sleeps 2 people. This apartment is equipped with : TV, unlimited high speed internet access with the wifi, Combo Washer-Dryer."
Miromesnil - Paris,75008,8,58,2849,2,4,5,274,8,1,07/18/2024,"This charming and well located 58 square meters , 2 Bedrooms, apartment is located on rue de la Bienfaisance in the 8th arrondissement, on the 5 th French floor building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access with the wifi."
Champs-Élysées - Triangle d'Or - Paris,75008,8,34,2473,1,2,4,272,58,1,08/29/2024,"This charming and comfortable 34 square meters , Studio, apartment is located on avenue Montaigne in the 8th arrondissement, on the 4 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, cable, TV, unlimited high speed internet access with the wifi."
Madeleine - Paris,75008,8,75,5215,2,6,6,NA,NA,1,now,"This beautiful and modern 75 square meters , 2 Bedroom, apartment is located on rue Tronchet in the 8th arrondissement, on the 6 th French floor of a 19th century building and it sleeps 6 people. This apartment is equipped with : A/C, washer, dryer, dishwasher, TV, terrace, stereo, unlimited high speed internet access with the wifi."
Saint Augustin - Paris,75008,8,50,2634,1,3,2,312,42,1,now,"This 50 square meters, 1 bedroom apartment is located on rue Roquepine in the 8th arrondissement, on the 2nd French floor of a 19th century building and it can sleep max. 3 people. This high-ceiling and calm apartment is equipped with: washer, dryer, TV, separate toilet and bathroom, large standing shower room, fully equipped kitchen, microwave, coffee machine, unlimited high speed internet access, decorative fireplace. The interior is designed by a Japanese designer and hand-picked antique furniture, curtain and paintings."
